== 1. 진짜 도구가 만든 파일을 다섯이 같게 푸는가 (lzmadec) ==
입력은 우리가 만들지 않았다. 골든 벡터보다 센 시험이다.
파일 · 설정                    py    cpp     go   java     ts
abab_4k.txt -1                 OK     OK     OK     OK     OK
abab_4k.txt -9                 OK     OK     OK     OK     OK
alphabet.bin -1                OK     OK     OK     OK     OK
alphabet.bin -9                OK     OK     OK     OK     OK
boundary_32768.bin -1          OK     OK     OK     OK     OK
boundary_32768.bin -9          OK     OK     OK     OK     OK
boundary_32769.bin -1          OK     OK     OK     OK     OK
boundary_32769.bin -9          OK     OK     OK     OK     OK
empty.bin -1                   OK     OK     OK     OK     OK
empty.bin -9                   OK     OK     OK     OK     OK
english.txt -1                 OK     OK     OK     OK     OK
english.txt -9                 OK     OK     OK     OK     OK
korean_utf8.txt -1             OK     OK     OK     OK     OK
korean_utf8.txt -9             OK     OK     OK     OK     OK
mixed_1m.bin -1                OK     OK     OK     OK     OK
mixed_1m.bin -9                OK     OK     OK     OK     OK
one.bin -1                     OK     OK     OK     OK     OK
one.bin -9                     OK     OK     OK     OK     OK
random_64k.bin -1              OK     OK     OK     OK     OK
random_64k.bin -9              OK     OK     OK     OK     OK
runs.bin -1                    OK     OK     OK     OK     OK
runs.bin -9                    OK     OK     OK     OK     OK
source.go -1                   OK     OK     OK     OK     OK
source.go -9                   OK     OK     OK     OK     OK
zeros_64k.bin -1               OK     OK     OK     OK     OK
zeros_64k.bin -9               OK     OK     OK     OK     OK

