# 드론 덱의 인용 키 — PLAN.md §0.3·§0.4. make docs(tools/fetch_docs.py)가 url 을 받아 docs/<file> 로 바꾼다.
# 펌웨어 코드는 커밋 sha 로 박은 raw 주소만 쓴다(tools/excerpt.py 가 sha 를 머리에 적는다). 2026-09-25 작성.
key	name	url	kind	licence	file
px4-att-cpp	PX4 AttitudeControl.cpp	https://raw.githubusercontent.com/PX4/PX4-Autopilot/2a0e0481713ca44802d74e9d3ba4a92f384d138f/src/modules/mc_att_control/AttitudeControl/AttitudeControl.cpp	code	BSD-3-Clause	px4/AttitudeControl.cpp.txt
ardupilot-att-cpp	ArduPilot AC_AttitudeControl.cpp	https://raw.githubusercontent.com/ArduPilot/ardupilot/e4b7c11761da3c4547030c202beb7b55bec6279b/libraries/AC_AttitudeControl/AC_AttitudeControl.cpp	code	GPL-3.0	ardupilot/AC_AttitudeControl.cpp.txt
betaflight-pid-c	Betaflight pid.c	https://raw.githubusercontent.com/betaflight/betaflight/46acf611013ef87f572d1e377412bc41b027a984/src/main/flight/pid.c	code	GPL-3.0	betaflight/pid.c.txt
mavlink-common-xml	MAVLink common.xml	https://raw.githubusercontent.com/mavlink/mavlink/dc252db7ba20b82491e54bf63664681e81d4be86/message_definitions/v1.0/common.xml	spec	LGPL-3.0 (생성 코드는 MIT)	mavlink/common.xml.txt
mavlink-minimal-xml	MAVLink minimal.xml (HEARTBEAT)	https://raw.githubusercontent.com/mavlink/mavlink/2e0efccfa88e84bdc3a89a552970aaeb0bcc1b36/message_definitions/v1.0/minimal.xml	spec	LGPL-3.0 (생성 코드는 MIT)	mavlink/minimal.xml.txt
mavlink-checksum-h	MAVLink C checksum.h	https://raw.githubusercontent.com/mavlink/c_library_v2/27ffe84e79d2e025c9bf6ccd1637f352e49a151b/checksum.h	code	MIT (MAVLink 생성 코드)	mavlink/checksum.h.txt
px4-controller-diagrams	PX4 제어기 도해	https://docs.px4.io/main/en/flight_stack/controller_diagrams.html	doc	-	px4/controller_diagrams.txt
px4-flight-modes-mc	PX4 멀티콥터 비행 모드	https://docs.px4.io/main/en/flight_modes_mc/	doc	-	px4/flight_modes_mc.txt
px4-mc-pid-tuning	PX4 멀티콥터 PID 튜닝	https://docs.px4.io/main/en/config_mc/pid_tuning_guide_multicopter.html	doc	-	px4/pid_tuning_guide_multicopter.txt
ardupilot-tuning-process	ArduPilot 튜닝 절차	https://ardupilot.org/copter/docs/tuning-process-instructions.html	doc	-	ardupilot/tuning-process-instructions.txt
ardupilot-tuning	ArduPilot 튜닝	https://ardupilot.org/copter/docs/common-tuning.html	doc	-	ardupilot/common-tuning.txt
ardupilot-attitude-control	ArduPilot 자세 제어(개발자 문서)	https://ardupilot.org/dev/docs/apmcopter-programming-attitude-control-2.html	doc	-	ardupilot/attitude-control.txt
ardupilot-flight-modes	ArduPilot 비행 모드	https://ardupilot.org/copter/docs/flight-modes.html	doc	-	ardupilot/flight-modes.txt
mavlink-serialization	MAVLink 패킷 직렬화	https://mavlink.io/en/guide/serialization.html	spec	-	mavlink/serialization.txt
mavlink-crc	MAVLink CRC	https://mavlink.io/en/guide/crc.html	spec	-	mavlink/crc.txt
mavlink-common-msgs	MAVLink common 메시지	https://mavlink.io/en/messages/common.html	spec	-	mavlink/messages_common.txt
lee2010-se3-abs	Lee·Leok·McClamroch 2010 (arXiv 초록)	https://arxiv.org/abs/1003.2005	paper	-	paper/lee2010-se3-abs.txt
