# 인용문 — §5 8단계에서 채운다. 원문 그대로 두 문장 이하, 번역은 슬라이드에서.
quote(en)	who	where	date	source
The launch of DJI’s agricultural drone displays our unmatched knowledge base and development skills,	Frank Wang (DJI CEO·창업자)	DJI 보도자료 — Agras MG-1	2015-11-27	https://www.dji.com/media-center/announcements/dji-introduces-company-s-first-agriculture-drone
It’s been a lifetime goal of mine to make flight faster, easier and more convenient than ever. The 184 provides a viable solution to the many challenges the transportation industry faces in a safe and energy efficient way,	Huazhi Hu (EHang CEO)	이항 보도자료 — EHang 184(CES)	2016-01-06	ehang-184-2016
These drones are able to fly as a fleet, this is the first time ever we can show it works so well with so many drones!	Daniel Gurdan (Intel Engineering Lead)	기네스 뉴스 — 인텔 500대 기록	2016-11-04	gwr-news-2016-11
We’re showing regulators around the world that UAV technologies used the right ways can help shape new rules for manned and unmanned aerial vehicles.	Natalie Cheung (Intel Light Show Business Lead)	기네스 뉴스 — 인텔 500대 기록	2016-11-04	gwr-news-2016-11
We are excited to work with Walt Disney Imagineering to bring a fresh and innovative approach to its world-renowned light shows,	Josh Walden (Intel New Technology Group)	인텔 보도자료 — 디즈니 Starbright Holidays	2016-11-16	intc-disney-2016
Lady Gaga and the Super Bowl creative team wanted to pull off something that had never been done before and we were able to combine Intel drone innovation with her artistry to pull off a truly unique experience,	Josh Walden (Intel New Technology Group)	인텔 보도자료 — 슈퍼볼 LI	2017-02-05	intc-superbowl-2017
The Olympics are a time when the sports and entertainment industries are buzzing with record-setting performances, so it was the perfect stage for Intel Shooting Star drones and our team to set their own kind of record,	Natalie Cheung (Intel 드론 라이트쇼 팀 총괄)	인텔 보도자료 — 평창 2018	2018-02-09	intc-pyeongchang-2018
From flying 100 drones simultaneously in 2015, to 500 drones in 2016, and now more than 1,000 drones – the sky is the limit with entertaining through Intel drone light shows.	Sam Prosser (Guinness World Records)	인텔 보도자료 — 평창 2018	2018-02-09	intc-pyeongchang-2018
Several years ago, we had an idea of flying drones forming the Intel logo over our corporate headquarters, and here we are doing just that. It really speaks to the innovative spirit that Intel was founded on 50 years ago.	Anil Nanduri (Intel Drone Group)	인텔 보도자료 — 창립 50주년 폴섬 쇼	2018-07-18	intc-folsom-2018
Our team constantly looks for opportunities to push the boundaries of innovation and deliver stunning entertainment experiences with our drone technology,	Anil Nanduri (Intel Drone Group)	인텔 보도자료 — 슈퍼볼 LIII	2019-02-03	intc-superbowl-2019
It’s been incredible to watch the evolution of this technology, from an early version of this aircraft that delivered packages a few hundred meters to a fully deployed commercial service utilizing highly automated aircraft,	Mark Blanks (Virginia Tech Mid-Atlantic Aviation Partnership)	Wing — 스미소니언 기증(2020-08-04 게시)	2020-08-04	wing-smithsonian
The National Air and Space Museum seeks to document and preserve the technical and cultural legacies of key moments of aerospace innovation,	Roger Connor (NASM 항공 큐레이터)	Wing — 스미소니언 기증(2020-08-04 게시)	2020-08-04	wing-smithsonian
At the heart of the Genesis promise is the daring spirit to do things differently. With this record-breaking drone performance, we brought our brand story and philosophy to life for many Chinese consumers.	Markus Henne (Genesis Motor China CEO)	기네스 뉴스 — 상하이 3,281대	2021-05-17	gwr-news-2021-05
Lockeford residents will soon have access to one of the world's leading delivery innovations,	Heath Flora (캘리포니아주 하원의원)	Amazon — Prime Air 록퍼드 준비	2022-06-13	https://www.aboutamazon.com/news/transportation/amazon-prime-air-prepares-for-drone-deliveries
It was so amazing to break two Guinness World Records in my hometown once again. There’s nothing better than bringing the holiday spirit to families and I think this show did just that.	Preston Ward (Sky Elements Chief Pilot)	기네스 뉴스 — 호두까기 인형 1,499대	2023-12-21	gwr-news-2023-12
From agriculture to construction management and surveying, DJI's industrial-grade drones have transformed industries by improving safety for workers and productivity for businesses,	Christina Zhang (DJI Corporate Strategy)	DJI 보도자료 — FlyCart 30	2024-01-10	https://www.dji.com/media-center/announcements/dji-launch-fly-cart-30
Just under two years ago, we helped people embrace and explore the almost out-of-body experience of FPV flight,	Ferdinand Wolf (DJI Creative Director)	DJI 보도자료 — Avata 2	2024-04-11	https://www.dji.com/media-center/announcements/dji-launch-avata-2-en
Above all, this achievement was made possible by collective determination – driven by the shared will to deliver a national-scale spectacle and the disciplined execution of hundreds of behind-the-scenes professionals.	Prowtech 대표	기네스 뉴스 — 호찌민 10,500대	2025-05-21	gwr-news-2025-05
In 2016, Rwanda made a decision that changed health access forever. Rwanda did not ask whether it had been done before.	Caitlin Burton (Zipline Africa CEO)	Zipline — 르완다 전국망 확대	2026-02-04	zipline-rwanda-2026
