# 드론쇼 기록 — §5 8단계에서 채운다(≥ 60행). record: Guinness | claimed | none, 2025년 이후 행은 받은 날 필수.
date	place	organiser	drone-count	record	source	verified-how
2012-09	오스트리아 린츠(도나우 강변, 클랑볼케 축제)	Ars Electronica Futurelab	49	claimed	spaxels-klangwolke	fetched 2026-09-25 — 주최측 'a world record: a formation flight by 49 quadcopters'(기네스 인증 아님)
2015-11	독일 토르네슈(Flugplatz Ahrenlohe)	Intel·Ars Electronica Futurelab	100	Guinness	gwr-news-2016-01	fetched 2026-09-25 — GWR 'Most Unmanned Aerial Vehicles (UAVs) airborne simultaneously', 100대, 11월(날짜 미기재)
2016	미국 캘리포니아 팜스프링스	Intel	100	claimed	https://www.intc.com/news-events/press-releases/detail/1144/intel-flew-100-drones-at-night-to-show-how-they-could	fetched 2026-09-25 — 인텔 2016-05-04 게시 '100 dancing drones … Palm Springs … first time a single operator … on US soil'(비행일 미기재)
2016	호주 시드니(Vivid Sydney)	Intel	100	claimed	https://www.intc.com/news-events/press-releases/detail/1135/intel-drone-100-to-light-up-vivid-sydney-sky	fetched 2026-09-25 — 인텔 2016-05-31 'Drone 100 … making its public debut as part of Vivid Sydney'(대수는 'Drone 100' 이름에서)
2016	독일 크라일링	Intel	500	Guinness	gwr-news-2016-11	fetched 2026-09-25 — GWR 'Krailling, Germany … 500 drones'(기사 2016-11-04, 비행일 미기재; 인텔 2018 보도자료 'in Germany in 2016')
2016-11-16	미국 플로리다 월트 디즈니 월드(디즈니 스프링스)	Intel·Walt Disney Parks and Resorts	300	claimed	intc-disney-2016	fetched 2026-09-25 — 'features 300 Intel Shooting Star drones'
2017-02-05	미국(슈퍼볼 LI 하프타임 쇼)	Intel·NFL·Pepsi	300	claimed	intc-superbowl-2017	fetched 2026-09-25 — 'Three hundred Intel Shooting Star drones'
2017-02-11	중국 광저우(캔톤 타워·하이신사 광장)	EHang·광저우 톈허구 정부	1000	claimed	ehang-1000-2017	fetched 2026-09-25 — 이항 '1000 UAV formation light show … refreshed the world record'(기네스 기사 연표에는 없음)
2017-12	한국 평창(사전 녹화)	Intel	1218	Guinness	gwr-news-2018-05;intc-pyeongchang-2018	fetched 2026-09-25 — GWR '1,218 in December 2017'; 인텔 '1,218 … prerecorded', 2018-02-09 개회식 방영
2018-04-29	중국 시안 성벽	시안시 정부·EHang Egret	1374	Guinness	gwr-news-2018-05	fetched 2026-09-25 — 'Sunday 29 April … 1,374 drones'
2018-07-15	미국 캘리포니아 폴섬(인텔 사업장)	Intel	2066	Guinness	gwr-news-2020-10;intc-folsom-2018	fetched 2026-09-25 — GWR 2,066대(2018-07-15); 인텔 보도자료는 '2,018 Intel Shooting Star drones'(대수 엇갈림, 기네스 수치를 적음)
2019-01-03	아랍에미리트 두바이	Dubai Police Academy·memories events	300	none	gwr-news-2019-02	fetched 2026-09-25 — 쇼 전체 300대(기사 수치); 기네스 기록은 30대 한 벌의 연속 대형 11개
2019-02-03	미국 애틀랜타 슈퍼볼 LIII	Intel·NFL	150	claimed	intc-superbowl-2019	fetched 2026-09-25 — '150 enhanced Intel Shooting Star drones … first-ever live drone light show during a Super Bowl'
2019-10-17	영국 런던 SSE 아레나 웸블리(실내)	BT	160	Guinness	gwr-rec-single-indoor	fetched 2026-09-25 — 'most … from a single computer (indoors) is 160 … BT'
2020	한국(기아 새 로고 공개 행사)	파블로항공	303	Guinness	pabloair-1068;https://www.pabloair.com/kr/news/news.php?bgu=view&idx=66	fetched 2026-09-25 — '2020년 303대 불꽃드론으로 기네스 세계기록 최초 등재', '최다 무인항공기 동시 불꽃쇼'
