# 기호표 — 0부 기호표 장과 부록 기호표가 이 표에서 생성된다. first-slide 는 부를 쓰며 채운다.
symbol	meaning	unit	first-slide
p	위치 (세계 좌표 ENU: 동·북·위)	m	-
v	속도	m/s	-
a	가속도	m/s²	-
j	가가속도(jerk) — 가속도의 변화율	m/s³	-
s (snap)	스냅 — 위치의 4계 도함수	m/s⁴	-
g	중력가속도	m/s²	-
m	질량	kg	-
e₃	세계의 위쪽 단위벡터 (0, 0, 1)	-	-
q	자세 쿼터니언 [w, x, y, z] (몸체 → 세계)	-	-
R	회전행렬 — 열은 세계 좌표로 적은 몸체 축	-	-
φ, θ, ψ	롤·피치·요 (ZYX 오일러각)	rad	-
ω	몸체 각속도 (p, q, r)	rad/s	-
J	관성 텐서 (이 덱에서는 대각: Jxx, Jyy, Jzz)	kg·m²	-
τ	토크	N·m	-
Ω	로터 회전 속도	rad/s	-
T	로터 하나의 추력 T = kT·Ω²	N	-
F	총추력 (네 로터의 합)	N	-
kT	추력 계수	N/(rad/s)²	-
kQ	반토크 계수	N·m/(rad/s)²	-
L	중심에서 로터 축까지 거리	m	-
a (믹서)	L/√2 — X 배치에서 로터의 x·y 좌표	m	-
c	kQ/kT	m	-
M	믹서 행렬 — 추력 넷 → (F, τx, τy, τz)	-	-
τm	모터 시상수	s	-
ρ	공기 밀도	kg/m³	-
A	프로펠러 원판 넓이	m²	-
P	일률(전력)	W	-
kp, ki, kd	PID 의 비례·적분·미분 이득	-	-
ζ	감쇠비	-	-
ωn	고유 진동수	rad/s	-
s	라플라스·특성방정식의 복소 변수	1/s	-
K	칼만 이득	-	-
P (칼만)	추정 오차 분산	-	-
R (칼만)	측정 잡음 분산	-	-
β(u)	정규화한 이동 모양 — u ∈ [0, 1] 에서 0 → 1	-	-
d, δ	최소 간격 (쇼 설계값 dmin)	m	-
π(i)	할당 — 드론 i 가 가는 목표 번호	-	-
ρᵢ	i 번째 위성까지의 의사거리	m	-
b	수신기 시계 오차 × 빛의 속도	m	-
γ	감마 — 부호 값과 빛의 양 사이의 지수	-	-
