# 정리 표 — PLAN.md §0.6. 문장은 여기 한 번만 쓴다; 덱의 <!--THM id=…--> 가 이 칸을 찍는다.
# M = 7부 도구, L = 보조정리, T = 본 정리(§3.5). 2026-09-25 T17·T30·T31 은 측정대로 고쳐 적었다(PLAN 진행 기록).
id	statement	level	proof-kind	prerequisites	witness-test	cite-key
M1	두 벡터의 내적은 <span class="mi"><b>a</b>·<b>b</b> = |<b>a</b>||<b>b</b>|cos <i>θ</i></span>이고, 교환·분배 법칙을 만족한다	1학년	full	-	py/tests/test_vec3.py::test_dot_commutes	-
M2	외적 <span class="mi"><b>a</b>×<b>b</b></span>는 <span class="mi"><b>a</b></span>와 <span class="mi"><b>b</b></span>에 모두 수직이고, 교환하면 부호가 바뀐다	1학년	full	-	py/tests/test_vec3.py::test_cross_is_perpendicular	-
M3	라그랑주 항등식 <span class="mi">|<b>a</b>×<b>b</b>|² + (<b>a</b>·<b>b</b>)² = |<b>a</b>|²|<b>b</b>|²</span> — 그래서 <span class="mi">|<b>a</b>×<b>b</b>| = |<b>a</b>||<b>b</b>|sin <i>θ</i></span>	1학년	full	M1,M2	py/tests/test_vec3.py::test_lagrange_identity	-
M4	코시-슈바르츠 부등식 <span class="mi">|<b>a</b>·<b>b</b>| ≤ |<b>a</b>||<b>b</b>|</span>. 등호는 두 벡터가 나란할 때뿐이다	1학년	full	M3	py/tests/test_vec3.py::test_lagrange_identity	-
M5	삼각 부등식 <span class="mi">|<b>a</b>+<b>b</b>| ≤ |<b>a</b>|+|<b>b</b>|</span>. 등호는 한 벡터가 다른 벡터의 음이 아닌 배수일 때뿐이다	1학년	full	M4	py/tests/test_assign.py::test_plain_cost_optimum_never_crosses	-
M6	3×3 행렬식은 세 열벡터의 스칼라 삼중곱이다: <span class="mi">det[<b>a</b> <b>b</b> <b>c</b>] = <b>a</b>·(<b>b</b>×<b>c</b>)</span>	1학년	full	M2	py/tests/test_vec3.py::test_det_is_triple_product	-
M7	행렬 곱은 결합법칙을 만족한다: <span class="mi">(<i>AB</i>)<b>x</b> = <i>A</i>(<i>B</i><b>x</b>)</span> — 그래서 변환을 잇는 것은 행렬을 곱하는 것이다	1학년	full	-	py/tests/test_vec3.py::test_matmul_associates_with_matvec	-
M8	정사각 행렬 <span class="mi"><i>A</i></span>에 대해 가우스 소거가 모든 열에서 0 이 아닌 피벗을 찾으면 <span class="mi"><i>A</i><b>x</b> = <b>b</b></span>의 해는 하나뿐이고, 찾지 못하면 해가 없거나 무수히 많다	1학년	sketch	M7	py/tests/test_linalg.py::test_singular_raises	-
M9	행렬의 계수(rank)는 행 사다리꼴로 줄였을 때의 피벗 개수이고, 행을 바꾸거나 한 행의 배수를 다른 행에 더해도 변하지 않는다	1학년	sketch	M8	py/tests/test_linalg.py::test_full_and_deficient	-
M10	<span class="mi"><i>Q</i><sup>T</sup><i>Q</i> = <i>I</i></span>이면 <span class="mi"><i>Q</i></span>는 길이와 내적을 바꾸지 않는다: <span class="mi">(<i>Q</i><b>a</b>)·(<i>Q</i><b>b</b>) = <b>a</b>·<b>b</b></span>	1학년	full	M7	py/tests/test_quat.py::test_rotation_preserves_norm_and_dot	-
M11	곱의 미분법과 연쇄 법칙: <span class="mi">(<i>fg</i>)′ = <i>f</i>′<i>g</i> + <i>fg</i>′</span>, <span class="mi">(<i>f</i>∘<i>g</i>)′ = (<i>f</i>′∘<i>g</i>)·<i>g</i>′</span>	1학년	sketch	-	-	-
M12	부분적분 <span class="mi">∫<sub><i>a</i></sub><sup><i>b</i></sup> <i>f</i> <i>g</i>′ d<i>t</i> = [<i>fg</i>]<sub><i>a</i></sub><sup><i>b</i></sup> − ∫<sub><i>a</i></sub><sup><i>b</i></sup> <i>f</i>′<i>g</i> d<i>t</i></span>	1학년	sketch	M11	py/tests/test_poly.py::test_cross_term_vanishes	-
M13	2차 테일러 전개 <span class="mi"><i>f</i>(<i>x</i>+<i>h</i>) = <i>f</i>(<i>x</i>) + <i>f</i>′(<i>x</i>)<i>h</i> + ½<i>f</i>″(<i>x</i>)<i>h</i>² + <i>O</i>(<i>h</i>³)</span> — 나머지는 <span class="mi"><i>h</i></span>이 작을 때 <span class="mi"><i>h</i>²</span>보다 빨리 0 이 된다	1학년	sketch	M11	-	-
