t	x	tilt_deg
0.00	0.00000	0.00000
0.01	0.00000	0.01492
0.02	0.00000	0.10840
0.03	0.00000	0.32988
0.04	0.00001	0.70274
0.05	0.00003	1.23180
0.06	0.00007	1.90974
0.07	0.00015	2.72177
0.08	0.00027	3.64871
0.09	0.00045	4.66933
0.10	0.00072	5.76157
0.11	0.00108	6.90380
0.12	0.00157	8.07507
0.13	0.00219	9.25600
0.14	0.00298	10.42843
0.15	0.00395	11.57625
0.16	0.00512	12.68469
0.17	0.00651	13.74121
0.18	0.00814	14.73448
0.19	0.01003	15.65546
0.20	0.01219	16.49606
0.21	0.01464	17.25047
0.22	0.01739	17.91354
0.23	0.02044	18.48233
0.24	0.02382	18.95427
0.25	0.02751	19.32889
0.26	0.03154	19.60581
0.27	0.03590	19.78662
0.28	0.04059	19.87276
0.29	0.04562	19.86748
0.30	0.05098	19.77366
0.31	0.05666	19.59582
0.32	0.06268	19.33791
0.33	0.06901	19.00538
0.34	0.07565	18.60294
0.35	0.08260	18.13660
0.36	0.08984	17.61151
0.37	0.09737	17.03398
0.38	0.10518	16.40935
0.39	0.11325	15.74394
0.40	0.12157	15.04305
0.41	0.13014	14.31280
0.42	0.13894	13.55826
0.43	0.14795	12.78520
0.44	0.15716	11.99830
0.45	0.16657	11.20282
0.46	0.17615	10.40298
0.47	0.18590	9.60344
0.48	0.19579	8.80787
0.49	0.20582	8.02028
0.50	0.21598	7.24375
0.51	0.22624	6.48164
0.52	0.23659	5.73640
0.53	0.24703	5.01075
0.54	0.25754	4.30654
0.55	0.26811	3.62585
0.56	0.27872	2.96999
0.57	0.28937	2.34044
0.58	0.30004	1.73798
0.59	0.31073	1.16355
0.60	0.32141	0.61750
0.61	0.33210	0.10027
0.62	0.34276	0.38820
0.63	0.35341	0.84786
0.64	0.36402	1.27911
0.65	0.37459	1.68225
0.66	0.38511	2.05795
0.67	0.39559	2.40678
0.68	0.40600	2.72962
0.69	0.41635	3.02728
0.70	0.42663	3.30077
0.71	0.43684	3.55103
0.72	0.44697	3.77922
0.73	0.45701	3.98635
0.74	0.46697	4.17362
0.75	0.47685	4.34212
0.76	0.48663	4.49305
0.77	0.49631	4.62750
0.78	0.50591	4.74666
0.79	0.51540	4.85159
0.80	0.52479	4.94341
0.81	0.53409	5.02316
0.82	0.54328	5.09188
0.83	0.55236	5.15052
0.84	0.56135	5.20004
0.85	0.57023	5.24130
0.86	0.57900	5.27516
