t	truth	gyro_int	acc	comp
0.00	0.00000	0.00000	0.01264	0.00000
0.05	0.01499	0.01779	-0.06811	0.01792
0.10	0.02995	0.03549	0.28592	0.04035
0.15	0.04483	0.05259	0.04983	0.05805
0.20	0.05960	0.06916	0.02416	0.07016
0.25	0.07422	0.08692	0.07243	0.08884
0.30	0.08866	0.10304	0.14389	0.10450
0.35	0.10287	0.11977	0.01896	0.11923
0.40	0.11683	0.13638	0.04512	0.13706
0.45	0.13049	0.15235	0.05264	0.15365
0.50	0.14383	0.16815	0.14926	0.16726
0.55	0.15681	0.18368	0.03192	0.17592
0.60	0.16939	0.19870	0.30274	0.19263
0.65	0.18156	0.21316	0.17285	0.20938
0.70	0.19327	0.22796	0.09682	0.22026
0.75	0.20449	0.24091	0.17394	0.23019
0.80	0.21521	0.25438	0.15323	0.23566
0.85	0.22538	0.26740	0.21601	0.24889
0.90	0.23500	0.27912	0.21007	0.25536
0.95	0.24402	0.29142	0.18586	0.26330
1.00	0.25244	0.30237	0.28742	0.27142
1.05	0.26023	0.31231	0.33361	0.28704
1.10	0.26736	0.32119	0.28376	0.29604
1.15	0.27383	0.33064	0.18389	0.30085
1.20	0.27961	0.33774	0.11196	0.30221
1.25	0.28470	0.34527	0.17310	0.30541
1.30	0.28907	0.35204	0.33869	0.31491
1.35	0.29272	0.35807	0.40936	0.32338
1.40	0.29563	0.36356	0.30135	0.32954
1.45	0.29781	0.36780	0.35082	0.33229
1.50	0.29925	0.37209	0.31429	0.33460
1.55	0.29994	0.37519	0.16866	0.33336
1.60	0.29987	0.37697	0.19002	0.33322
1.65	0.29906	0.37892	0.21746	0.32746
1.70	0.29750	0.38074	0.35327	0.33127
1.75	0.29520	0.38015	0.32137	0.32609
1.80	0.29215	0.37865	0.31025	0.31861
1.85	0.28838	0.37728	0.10022	0.30647
1.90	0.28389	0.37553	0.34619	0.30424
1.95	0.27869	0.37309	0.24932	0.29851
2.00	0.27279	0.36951	0.23714	0.29904
2.05	0.26621	0.36469	0.17327	0.28909
2.10	0.25896	0.36036	0.02713	0.27071
2.15	0.25107	0.35558	0.23837	0.26727
2.20	0.24255	0.34841	0.23436	0.25345
2.25	0.23342	0.34194	0.15916	0.24305
2.30	0.22371	0.33376	0.24497	0.23209
2.35	0.21344	0.32580	0.11625	0.22056
2.40	0.20264	0.31757	0.22371	0.21030
2.45	0.19133	0.30925	0.39523	0.20373
2.50	0.17954	0.30018	0.12564	0.19005
2.55	0.16731	0.29085	0.14284	0.17670
2.60	0.15465	0.28128	0.16768	0.16226
2.65	0.14161	0.27031	0.06243	0.14373
2.70	0.12821	0.25875	0.04308	0.13266
2.75	0.11450	0.24807	-0.02303	0.11825
2.80	0.10050	0.23637	0.27295	0.10898
2.85	0.08624	0.22365	-0.02426	0.09145
2.90	0.07177	0.21179	-0.07919	0.07787
2.95	0.05713	0.19946	0.21544	0.06928
3.00	0.04234	0.18761	-0.09421	0.05591
3.05	0.02744	0.17590	-0.01681	0.03676
3.10	0.01247	0.16347	-0.15031	0.02275
3.15	-0.00252	0.15148	-0.13045	0.00941
3.20	-0.01751	0.13912	0.09285	0.00832
3.25	-0.03246	0.12697	0.09017	-0.00879
3.30	-0.04732	0.11493	-0.05221	-0.02538
3.35	-0.06207	0.10316	0.01597	-0.04119
3.40	-0.07666	0.09078	-0.09337	-0.05803
3.45	-0.09106	0.07961	0.10844	-0.07022
3.50	-0.10523	0.06878	-0.25657	-0.08705
3.55	-0.11914	0.05767	-0.05490	-0.09939
3.60	-0.13276	0.04718	-0.09540	-0.11325
3.65	-0.14604	0.03657	-0.24499	-0.12727
3.70	-0.15895	0.02565	-0.27605	-0.14222
3.75	-0.17147	0.01605	-0.23537	-0.15679
3.80	-0.18356	0.00670	-0.18927	-0.16141
3.85	-0.19519	-0.00296	-0.10136	-0.17107
3.90	-0.20633	-0.01241	-0.33617	-0.17952
3.95	-0.21696	-0.02037	-0.28560	-0.18999
4.00	-0.22704	-0.02721	-0.05756	-0.19925
4.05	-0.23656	-0.03405	-0.11088	-0.20575
4.10	-0.24548	-0.04042	-0.35019	-0.21767
4.15	-0.25380	-0.04589	-0.26311	-0.21646
4.20	-0.26147	-0.05068	-0.17799	-0.22320
4.25	-0.26850	-0.05539	-0.23700	-0.23169
4.30	-0.27485	-0.05926	-0.40296	-0.24482
4.35	-0.28052	-0.06233	-0.28230	-0.25939
4.40	-0.28548	-0.06456	-0.12260	-0.26331
4.45	-0.28973	-0.06613	-0.32164	-0.26893
4.50	-0.29326	-0.06729	-0.27945	-0.26745
4.55	-0.29605	-0.06711	-0.21692	-0.26399
4.60	-0.29811	-0.06642	-0.39507	-0.27182
4.65	-0.29942	-0.06505	-0.28325	-0.27522
4.70	-0.29998	-0.06299	-0.27264	-0.27887
4.75	-0.29979	-0.06077	-0.35627	-0.27900
4.80	-0.29885	-0.05864	-0.23181	-0.27521
4.85	-0.29716	-0.05364	-0.35468	-0.27545
4.90	-0.29474	-0.04833	-0.30619	-0.26668
4.95	-0.29157	-0.04298	-0.30426	-0.26823
5.00	-0.28768	-0.03619	-0.23354	-0.25969
5.05	-0.28306	-0.02938	-0.28077	-0.25730
5.10	-0.27774	-0.02197	-0.23028	-0.24708
5.15	-0.27173	-0.01316	-0.26899	-0.24092
5.20	-0.26504	-0.00380	-0.17197	-0.22657
5.25	-0.25768	0.00638	-0.17495	-0.22070
5.30	-0.24968	0.01641	-0.36551	-0.21003
5.35	-0.24106	0.02742	-0.23227	-0.20412
5.40	-0.23183	0.03964	-0.30005	-0.19215
5.45	-0.22202	0.05262	-0.25435	-0.18541
5.50	-0.21166	0.06525	-0.18793	-0.17232
5.55	-0.20077	0.07833	-0.20163	-0.16428
5.60	-0.18938	0.09189	-0.24955	-0.15325
5.65	-0.17751	0.10591	-0.10460	-0.13872
5.70	-0.16521	0.12128	-0.12087	-0.11982
5.75	-0.15248	0.13684	-0.04030	-0.10644
5.80	-0.13938	0.15262	-0.19089	-0.10061
5.85	-0.12593	0.16854	-0.19503	-0.09252
5.90	-0.11216	0.18412	0.07567	-0.07797
5.95	-0.09812	0.20034	-0.19618	-0.06965
