t	trap_x	trap_v	snap_x	snap_v
0.000	0.00000	0.00000	0.00000	-0.00000
0.045	0.00202	0.09000	0.00000	0.00030
0.090	0.00810	0.18000	0.00005	0.00234
0.135	0.01823	0.27000	0.00026	0.00767
0.180	0.03240	0.36000	0.00081	0.01762
0.225	0.05063	0.45000	0.00194	0.03334
0.270	0.07290	0.54000	0.00391	0.05582
0.315	0.09923	0.63000	0.00707	0.08583
0.360	0.12960	0.72000	0.01176	0.12404
0.405	0.16403	0.81000	0.01837	0.17091
0.450	0.20250	0.90000	0.02728	0.22680
0.495	0.24502	0.99000	0.03892	0.29192
0.540	0.29160	1.08000	0.05369	0.36636
0.585	0.34222	1.17000	0.07203	0.45009
0.630	0.39690	1.26000	0.09434	0.54299
0.675	0.45563	1.35000	0.12103	0.64483
0.720	0.51840	1.44000	0.15250	0.75529
0.765	0.58522	1.53000	0.18913	0.87397
0.810	0.65610	1.62000	0.23128	1.00040
0.855	0.73102	1.71000	0.27928	1.13405
0.900	0.81000	1.80000	0.33344	1.27431
0.945	0.89302	1.89000	0.39405	1.42054
0.990	0.98010	1.98000	0.46137	1.57205
1.035	1.07122	2.07000	0.53561	1.72811
1.080	1.16640	2.16000	0.61695	1.88795
1.125	1.26562	2.25000	0.70557	2.05078
1.170	1.36890	2.34000	0.80156	2.21580
1.215	1.47623	2.43000	0.90501	2.38218
1.260	1.58760	2.52000	1.01596	2.54910
1.305	1.70302	2.61000	1.13442	2.71572
1.350	1.82250	2.70000	1.26036	2.88120
1.395	1.94603	2.79000	1.39370	3.04472
1.440	2.07360	2.88000	1.53434	3.20547
1.485	2.20523	2.97000	1.68214	3.36265
1.530	2.34090	3.06000	1.83692	3.51548
1.575	2.48062	3.15000	1.99846	3.66319
1.620	2.62440	3.24000	2.16652	3.80507
1.665	2.77223	3.33000	2.34082	3.94042
1.710	2.92410	3.42000	2.52105	4.06857
1.755	3.08002	3.51000	2.70687	4.18889
1.800	3.24000	3.60000	2.89792	4.30080
1.845	3.40402	3.69000	3.09381	4.40375
1.890	3.57210	3.78000	3.29412	4.49725
1.935	3.74423	3.87000	3.49841	4.58084
1.980	3.92040	3.96000	3.70624	4.65412
2.025	4.10000	4.00000	3.91712	4.71673
2.070	4.28000	4.00000	4.13058	4.76837
2.115	4.46000	4.00000	4.34611	4.80880
2.160	4.64000	4.00000	4.56320	4.83782
2.205	4.82000	4.00000	4.78134	4.85528
2.250	5.00000	4.00000	5.00000	4.86111
2.295	5.18000	4.00000	5.21866	4.85528
2.340	5.36000	4.00000	5.43680	4.83782
2.385	5.54000	4.00000	5.65389	4.80880
2.430	5.72000	4.00000	5.86942	4.76837
2.475	5.90000	4.00000	6.08288	4.71673
2.520	6.07960	3.96000	6.29376	4.65412
2.565	6.25577	3.87000	6.50159	4.58084
2.610	6.42790	3.78000	6.70588	4.49725
2.655	6.59597	3.69000	6.90619	4.40375
2.700	6.76000	3.60000	7.10208	4.30080
2.745	6.91998	3.51000	7.29313	4.18889
2.790	7.07590	3.42000	7.47895	4.06857
2.835	7.22777	3.33000	7.65918	3.94042
2.880	7.37560	3.24000	7.83348	3.80507
2.925	7.51937	3.15000	8.00154	3.66319
2.970	7.65910	3.06000	8.16308	3.51548
3.015	7.79478	2.97000	8.31786	3.36265
3.060	7.92640	2.88000	8.46566	3.20547
3.105	8.05397	2.79000	8.60630	3.04472
3.150	8.17750	2.70000	8.73964	2.88120
3.195	8.29697	2.61000	8.86558	2.71572
3.240	8.41240	2.52000	8.98404	2.54910
3.285	8.52378	2.43000	9.09499	2.38218
3.330	8.63110	2.34000	9.19844	2.21580
3.375	8.73438	2.25000	9.29443	2.05078
3.420	8.83360	2.16000	9.38305	1.88795
3.465	8.92877	2.07000	9.46439	1.72811
3.510	9.01990	1.98000	9.53863	1.57205
3.555	9.10698	1.89000	9.60595	1.42054
3.600	9.19000	1.80000	9.66656	1.27431
3.645	9.26897	1.71000	9.72072	1.13405
3.690	9.34390	1.62000	9.76872	1.00040
3.735	9.41478	1.53000	9.81087	0.87397
3.780	9.48160	1.44000	9.84750	0.75529
3.825	9.54438	1.35000	9.87897	0.64483
3.870	9.60310	1.26000	9.90566	0.54299
3.915	9.65778	1.17000	9.92797	0.45009
3.960	9.70840	1.08000	9.94631	0.36636
4.005	9.75497	0.99000	9.96108	0.29192
4.050	9.79750	0.90000	9.97272	0.22680
4.095	9.83597	0.81000	9.98163	0.17091
4.140	9.87040	0.72000	9.98824	0.12404
4.185	9.90077	0.63000	9.99293	0.08583
4.230	9.92710	0.54000	9.99609	0.05582
4.275	9.94937	0.45000	9.99806	0.03334
4.320	9.96760	0.36000	9.99919	0.01762
4.365	9.98178	0.27000	9.99974	0.00767
4.410	9.99190	0.18000	9.99995	0.00234
4.455	9.99798	0.09000	10.00000	0.00030
4.500	10.00000	0.00000	10.00000	0.00000
