t	zeta=0.2	zeta=0.707	zeta=1
0.00	0.00000	0.00000	0.00000
0.02	0.00080	0.00079	0.00078
0.04	0.00316	0.00308	0.00303
0.06	0.00708	0.00680	0.00665
0.08	0.01250	0.01186	0.01151
0.10	0.01941	0.01818	0.01752
0.12	0.02777	0.02568	0.02458
0.14	0.03753	0.03428	0.03260
0.16	0.04867	0.04391	0.04148
0.18	0.06114	0.05450	0.05116
0.20	0.07490	0.06598	0.06155
0.22	0.08992	0.07828	0.07259
0.24	0.10613	0.09133	0.08420
0.26	0.12351	0.10508	0.09633
0.28	0.14201	0.11947	0.10891
0.30	0.16157	0.13444	0.12190
0.32	0.18215	0.14992	0.13524
0.34	0.20371	0.16588	0.14888
0.36	0.22618	0.18226	0.16279
0.38	0.24953	0.19901	0.17691
0.40	0.27370	0.21609	0.19121
0.42	0.29864	0.23344	0.20565
0.44	0.32429	0.25104	0.22021
0.46	0.35061	0.26883	0.23484
0.48	0.37754	0.28678	0.24953
0.50	0.40503	0.30485	0.26424
0.52	0.43303	0.32301	0.27895
0.54	0.46149	0.34122	0.29364
0.56	0.49035	0.35946	0.30829
0.58	0.51956	0.37769	0.32287
0.60	0.54907	0.39588	0.33737
0.62	0.57882	0.41402	0.35178
0.64	0.60877	0.43207	0.36607
0.66	0.63887	0.45001	0.38025
0.68	0.66906	0.46782	0.39428
0.70	0.69930	0.48547	0.40817
0.72	0.72954	0.50296	0.42190
0.74	0.75972	0.52026	0.43546
0.76	0.78981	0.53735	0.44885
0.78	0.81975	0.55422	0.46205
0.80	0.84951	0.57086	0.47507
0.82	0.87903	0.58725	0.48789
0.84	0.90827	0.60338	0.50052
0.86	0.93720	0.61924	0.51294
0.88	0.96577	0.63483	0.52516
0.90	0.99393	0.65012	0.53716
0.92	1.02166	0.66511	0.54896
0.94	1.04892	0.67981	0.56054
0.96	1.07566	0.69419	0.57191
0.98	1.10186	0.70825	0.58306
1.00	1.12748	0.72200	0.59399
1.02	1.15250	0.73542	0.60471
1.04	1.17687	0.74852	0.61521
1.06	1.20058	0.76129	0.62550
1.08	1.22359	0.77373	0.63557
1.10	1.24588	0.78583	0.64543
1.12	1.26743	0.79760	0.65507
1.14	1.28821	0.80904	0.66451
1.16	1.30821	0.82015	0.67373
1.18	1.32740	0.83093	0.68275
1.20	1.34576	0.84138	0.69156
1.22	1.36328	0.85149	0.70017
1.24	1.37995	0.86129	0.70857
1.26	1.39575	0.87076	0.71678
1.28	1.41068	0.87991	0.72480
1.30	1.42471	0.88875	0.73262
1.32	1.43785	0.89727	0.74024
1.34	1.45008	0.90548	0.74769
1.36	1.46141	0.91339	0.75495
1.38	1.47182	0.92100	0.76202
1.40	1.48132	0.92831	0.76892
1.42	1.48990	0.93533	0.77565
1.44	1.49757	0.94207	0.78220
1.46	1.50433	0.94853	0.78858
1.48	1.51018	0.95471	0.79480
1.50	1.51513	0.96062	0.80085
1.52	1.51918	0.96627	0.80675
1.54	1.52235	0.97166	0.81249
1.56	1.52463	0.97679	0.81807
1.58	1.52605	0.98169	0.82351
1.60	1.52661	0.98634	0.82880
1.62	1.52632	0.99075	0.83395
1.64	1.52521	0.99494	0.83895
1.66	1.52328	0.99891	0.84382
1.68	1.52054	1.00265	0.84855
1.70	1.51703	1.00619	0.85316
1.72	1.51275	1.00953	0.85763
1.74	1.50772	1.01266	0.86198
1.76	1.50197	1.01561	0.86621
1.78	1.49552	1.01837	0.87032
1.80	1.48837	1.02094	0.87431
1.82	1.48057	1.02335	0.87819
1.84	1.47213	1.02558	0.88196
1.86	1.46307	1.02765	0.88562
1.88	1.45343	1.02957	0.88917
1.90	1.44321	1.03133	0.89262
1.92	1.43246	1.03295	0.89597
1.94	1.42119	1.03443	0.89922
1.96	1.40943	1.03577	0.90238
1.98	1.39720	1.03699	0.90545
2.00	1.38454	1.03808	0.90842
2.02	1.37147	1.03905	0.91131
2.04	1.35802	1.03990	0.91411
2.06	1.34421	1.04065	0.91683
2.08	1.33008	1.04129	0.91947
2.10	1.31565	1.04184	0.92202
2.12	1.30094	1.04228	0.92450
2.14	1.28599	1.04264	0.92691
2.16	1.27083	1.04291	0.92924
2.18	1.25547	1.04310	0.93151
2.20	1.23996	1.04322	0.93370
2.22	1.22431	1.04325	0.93583
2.24	1.20855	1.04322	0.93789
2.26	1.19271	1.04313	0.93989
2.28	1.17681	1.04297	0.94183
2.30	1.16089	1.04276	0.94371
2.32	1.14497	1.04248	0.94553
2.34	1.12907	1.04216	0.94730
2.36	1.11321	1.04179	0.94901
2.38	1.09743	1.04138	0.95066
2.40	1.08174	1.04092	0.95227
2.42	1.06617	1.04043	0.95382
2.44	1.05075	1.03990	0.95533
2.46	1.03549	1.03934	0.95679
2.48	1.02041	1.03874	0.95820
2.50	1.00554	1.03812	0.95957
2.52	0.99090	1.03748	0.96090
2.54	0.97651	1.03681	0.96218
2.56	0.96238	1.03612	0.96343
2.58	0.94854	1.03541	0.96463
2.60	0.93499	1.03469	0.96580
2.62	0.92177	1.03395	0.96693
2.64	0.90888	1.03320	0.96802
2.66	0.89634	1.03244	0.96908
2.68	0.88416	1.03167	0.97010
2.70	0.87236	1.03089	0.97109
2.72	0.86095	1.03011	0.97205
2.74	0.84994	1.02933	0.97298
2.76	0.83934	1.02854	0.97388
2.78	0.82917	1.02775	0.97475
2.80	0.81943	1.02696	0.97559
2.82	0.81013	1.02617	0.97641
2.84	0.80128	1.02539	0.97720
2.86	0.79288	1.02461	0.97796
2.88	0.78495	1.02383	0.97870
2.90	0.77749	1.02306	0.97941
2.92	0.77049	1.02230	0.98010
2.94	0.76397	1.02154	0.98077
2.96	0.75793	1.02079	0.98142
2.98	0.75237	1.02005	0.98204
3.00	0.74729	1.01932	0.98265
3.02	0.74270	1.01860	0.98323
3.04	0.73858	1.01789	0.98380
3.06	0.73494	1.01719	0.98435
3.08	0.73179	1.01651	0.98488
3.10	0.72910	1.01583	0.98539
3.12	0.72690	1.01517	0.98588
3.14	0.72515	1.01452	0.98636
3.16	0.72388	1.01388	0.98682
3.18	0.72306	1.01326	0.98727
3.20	0.72269	1.01265	0.98770
3.22	0.72277	1.01206	0.98812
3.24	0.72329	1.01148	0.98853
3.26	0.72424	1.01091	0.98892
3.28	0.72561	1.01036	0.98930
3.30	0.72740	1.00982	0.98966
3.32	0.72959	1.00929	0.99001
3.34	0.73217	1.00878	0.99036
3.36	0.73514	1.00829	0.99069
3.38	0.73848	1.00781	0.99100
3.40	0.74219	1.00734	0.99131
3.42	0.74624	1.00689	0.99161
3.44	0.75064	1.00645	0.99190
3.46	0.75535	1.00602	0.99218
3.48	0.76039	1.00561	0.99245
3.50	0.76572	1.00522	0.99270
3.52	0.77134	1.00483	0.99296
3.54	0.77723	1.00446	0.99320
3.56	0.78338	1.00411	0.99343
3.58	0.78978	1.00376	0.99366
3.60	0.79642	1.00344	0.99388
3.62	0.80326	1.00312	0.99409
3.64	0.81032	1.00281	0.99429
3.66	0.81756	1.00252	0.99449
3.68	0.82498	1.00224	0.99468
3.70	0.83255	1.00197	0.99487
3.72	0.84027	1.00172	0.99504
3.74	0.84813	1.00147	0.99522
3.76	0.85610	1.00124	0.99538
3.78	0.86417	1.00102	0.99554
3.80	0.87233	1.00080	0.99570
