$ PYTHONPATH=py python3 -m droneshow fly out/show_p16_12.json --mode physics --ids 0,1,2,3,4,5,6,7,8,9,10,11
physics — 6자유도 모델 12대, 제어기가 계획을 따라 난다
  id   최대 오차[m]  평균 오차[m]
   0        0.0828       0.0377
   1        0.0698       0.0335
   2        0.0782       0.0355
   3        0.0828       0.0377
   4        0.0883       0.0406
   5        0.0781       0.0353
   6        0.0860       0.0457
   7        0.0883       0.0406
   8        0.0952       0.0441
   9        0.0944       0.0462
  10        0.0944       0.0462
  11        0.0952       0.0441
