# 기여자 — v2.55.0 까지 머지를 뺀 커밋 수 상위 25명.
# .mailmap 이 한 사람의 여러 주소를 합친다. make_data.py.
rank	person	commits	verified-how
1	Junio C Hamano	8361	mirror: git shortlog -sn --no-merges v2.55.0
2	Jeff King	4631	mirror: git shortlog -sn --no-merges v2.55.0
3	Johannes Schindelin	2379	mirror: git shortlog -sn --no-merges v2.55.0
4	Patrick Steinhardt	2197	mirror: git shortlog -sn --no-merges v2.55.0
5	Ævar Arnfjörð Bjarmason	1945	mirror: git shortlog -sn --no-merges v2.55.0
6	Nguyễn Thái Ngọc Duy	1824	mirror: git shortlog -sn --no-merges v2.55.0
7	René Scharfe	1386	mirror: git shortlog -sn --no-merges v2.55.0
8	Shawn O. Pearce	1290	mirror: git shortlog -sn --no-merges v2.55.0
9	Elijah Newren	1231	mirror: git shortlog -sn --no-merges v2.55.0
10	Linus Torvalds	1105	mirror: git shortlog -sn --no-merges v2.55.0
11	Michael Haggerty	953	mirror: git shortlog -sn --no-merges v2.55.0
12	Derrick Stolee	937	mirror: git shortlog -sn --no-merges v2.55.0
13	brian m. carlson	930	mirror: git shortlog -sn --no-merges v2.55.0
14	Taylor Blau	815	mirror: git shortlog -sn --no-merges v2.55.0
15	Jonathan Nieder	806	mirror: git shortlog -sn --no-merges v2.55.0
16	Christian Couder	693	mirror: git shortlog -sn --no-merges v2.55.0
17	Stefan Beller	638	mirror: git shortlog -sn --no-merges v2.55.0
18	Eric Wong	599	mirror: git shortlog -sn --no-merges v2.55.0
19	SZEDER Gábor	584	mirror: git shortlog -sn --no-merges v2.55.0
20	Johannes Sixt	537	mirror: git shortlog -sn --no-merges v2.55.0
21	Felipe Contreras	529	mirror: git shortlog -sn --no-merges v2.55.0
22	Jakub Narębski	512	mirror: git shortlog -sn --no-merges v2.55.0
23	Eric Sunshine	410	mirror: git shortlog -sn --no-merges v2.55.0
24	Brandon Williams	378	mirror: git shortlog -sn --no-merges v2.55.0
25	Jonathan Tan	359	mirror: git shortlog -sn --no-merges v2.55.0
