# 공식 형식·프로토콜 문서. <!--CITE key=…--> 는 doc-key 칸의 키만 쓸 수 있다.
# 본문은 make docs 가 mirror 의 v2.55.0 태그에서 docs/<doc-key>.txt 로 받는다(커밋하지 않는 캐시).
# section 은 그 문서의 절 제목 그대로(§ 줄) — 문서 전체를 가리킬 때는 '-'.
format	doc-key	section	what-it-pins
느슨한 객체	gitformat-loose	Loose objects	객체 머리 "<형식> <크기>\0" 와 zlib, objects/xx/ 배치
인덱스 판 2·3·4	gitformat-index	The Git index file has the following format	DIRC 머리·항목 수·끝 체크섬
인덱스 항목	gitformat-index	Index entry	stat 칸·모드·flags·경로와 NUL 채움
인덱스 확장	gitformat-index	Extensions	TREE·REUC·UNTR 등 확장의 서명과 길이
팩 v2	gitformat-pack	pack-*.pack files have the following format:	PACK 머리·항목 머리·끝 체크섬
팩 크기 부호	gitformat-pack	Size encoding	가변 길이 크기
델타	gitformat-pack	Deltified representation	OFS_DELTA·REF_DELTA 와 델타 데이터
델타 복사 명령	gitformat-pack	Instruction to copy from base object	복사 명령의 거리·길이 바이트, 길이 0 = 0x10000
델타 삽입 명령	gitformat-pack	Instruction to add new data	삽입 명령 1‥127
팩 색인 v2	gitformat-pack	Version 2 pack-*.idx files support packs larger than 4 GiB, and	fanout·이름·CRC32·자리·큰 자리 표
역색인	gitformat-pack	pack-*.rev files have the format:	.rev 파일
다중 팩 색인	gitformat-pack	multi-pack-index (MIDX) files have the following format:	MIDX 파일
pkt-line	gitprotocol-common	pkt-line Format	길이 4자리 16진, flush 0000
프로토콜 v0 참조 광고	gitprotocol-pack	Reference Discovery	참조 광고와 능력 목록
프로토콜 v0 협상	gitprotocol-pack	Packfile Negotiation	want/have/ACK/NAK
프로토콜 v2 틀	gitprotocol-v2	Packet-Line Framing	0001 delim·0002 response-end
프로토콜 v2 능력 광고	gitprotocol-v2	Capability Advertisement	version 2 와 능력 줄
프로토콜 v2 ls-refs	gitprotocol-v2	ls-refs	peel·symrefs·ref-prefix
프로토콜 v2 fetch	gitprotocol-v2	fetch	want·have·done·packfile 절
사이드밴드	gitprotocol-capabilities	side-band, side-band-64k	채널 1·2·3
커밋 그래프	gitformat-commit-graph	Commit-graph files have the following format:	청크 표와 세대 번호
청크 파일	gitformat-chunk	-	청크 기반 파일 형식의 공통 틀
서명	gitformat-signature	Commit signatures	gpgsig 머리
번들	gitformat-bundle	FORMAT	# v2 git bundle 머리와 팩
저장소 배치	gitrepository-layout	-	.git 아래 파일과 디렉터리
SHA-256 전환	technical-hash-function-transition	Object names	SHA-1·SHA-256 객체 이름
Racy git	technical-racy-git	Racy Git	같은 초 안의 수정과 stat 캐시
reftable	technical-reftable	Overview	참조 저장 형식 reftable
부분 복제	technical-partial-clone	Design Overview	promisor 와 필터
비트맵	technical-bitmap-format	On-disk format	EWAH 비트맵
팩 휴리스틱	technical-pack-heuristics	-	델타 창과 깊이의 고르기
희소 인덱스	technical-sparse-index	-	희소 디렉터리 항목
