# 자람 — x.y.0 마다 누적 커밋 수(rev-list --count)와
# 기여자 수(shortlog -sn 의 줄 수). make_data.py.
version	date	commits	contributors
1.0.0	2005-12-21	2930	115
1.1.0	2006-01-08	3046	119
1.2.0	2006-02-12	3296	128
1.3.0	2006-04-18	4171	150
1.4.0	2006-06-10	4975	168
1.5.0	2007-02-14	8463	226
1.6.0	2008-08-17	15649	512
1.7.0	2010-02-12	21205	723
1.8.0	2012-10-21	30614	1004
1.9.0	2014-02-14	35739	1158
2.0.0	2014-05-28	36430	1191
2.1.0	2014-08-15	37387	1217
2.2.0	2014-11-26	38171	1246
2.3.0	2015-02-05	38587	1265
2.4.0	2015-04-30	39278	1289
2.5.0	2015-07-27	40153	1310
2.6.0	2015-09-28	40818	1325
2.7.0	2016-01-04	41633	1351
2.8.0	2016-03-28	42395	1373
2.9.0	2016-06-13	43192	1399
2.10.0	2016-09-02	44142	1421
2.11.0	2016-11-29	45132	1436
2.12.0	2017-02-24	45934	1460
2.13.0	2017-05-09	46954	1475
2.14.0	2017-08-04	47996	1493
2.15.0	2017-10-30	49164	1521
2.16.0	2018-01-17	49935	1545
2.17.0	2018-04-02	50674	1564
2.18.0	2018-06-21	51805	1588
2.19.0	2018-09-10	52801	1604
2.20.0	2018-12-09	54132	1629
2.21.0	2019-02-24	54814	1648
2.22.0	2019-06-07	55792	1666
2.23.0	2019-08-16	56530	1692
2.24.0	2019-11-04	57277	1713
2.25.0	2020-01-13	58051	1743
2.26.0	2020-03-22	58762	1755
2.27.0	2020-05-31	59521	1774
2.28.0	2020-07-26	59933	1787
2.29.0	2020-10-19	60784	1811
2.30.0	2020-12-27	61475	1840
2.31.0	2021-03-15	62382	1855
2.32.0	2021-06-06	63179	1878
2.33.0	2021-08-16	63789	1894
2.34.0	2021-11-14	64999	1913
2.35.0	2022-01-24	65659	1934
2.36.0	2022-04-17	66603	1951
2.37.0	2022-06-27	67154	1964
2.38.0	2022-10-02	68136	1979
2.39.0	2022-12-12	68831	1999
2.40.0	2023-03-12	69546	2019
2.41.0	2023-06-01	70280	2035
2.42.0	2023-08-21	70876	2046
2.43.0	2023-11-20	71556	2062
2.44.0	2024-02-22	72317	2087
2.45.0	2024-04-29	73046	2113
2.46.0	2024-07-29	74086	2133
2.47.0	2024-10-06	75031	2144
2.48.0	2025-01-10	75848	2166
2.49.0	2025-03-14	76464	2183
2.50.0	2025-06-15	77303	2209
2.51.0	2025-08-17	78061	2226
2.52.0	2025-11-17	78972	2245
2.53.0	2026-02-01	79611	2258
2.54.0	2026-04-19	80667	2312
2.55.0	2026-06-29	81348	2335
