# 사람 — 역할과 출처. 사진은 싣지 않는다(PLAN.md §9 결정 6).
# role 은 출처가 말하는 것만 적는다. 커밋 수 순위는 data/contributors.tsv(mirror 의 shortlog).
person	role	source
Linus Torvalds	git 의 첫 커밋(e83c5163, 2005-04-07)을 하고 2005-07 에 유지보수를 넘겼다. v2.55.0 까지 커밋 수 10위(머지 제외)	mirror 커밋 e83c5163 · 메일 "Meet the new maintainer.." (docs/mail-meet-new-maintainer.txt) · data/contributors.tsv
Junio C Hamano	2005-07 부터 git 의 유지보수자. 1.0.0 을 발표했다. v2.55.0 까지 커밋 수 1위	메일 "Meet the new maintainer.." · "[ANNOUNCE] GIT 1.0.0" (docs/mail-announce-1.0.0.txt) · data/contributors.tsv
Larry McVoy	BitMover 쪽에서 BitKeeper 를 리눅스 커널 개발에 쓰게 하려 애쓴 사람(LWN 이 1999년 통화를 회고)	LWN, "The kernel and BitKeeper part ways", 2005-04-06 · Torvalds, "Kernel SCM saga.." ("Larry in particular really did try to make things work out")
Matt Mackall	Mercurial v0.1 을 LKML 에 알렸다(2005-04-20)	lkml.iu.edu/hypermail/linux/kernel/0504.2/0670.html
Marc J. Rochkind	SCCS 논문의 저자(1975)	IEEE TSE SE-1(4), doi:10.1109/TSE.1975.6312866
Walter F. Tichy	RCS 논문의 저자(1985)	SP&E 15(7), doi:10.1002/spe.4380150703
Dick Grune	셸 스크립트판 CVS(1986, Vrije Universiteit)	Berliner, USENIX Winter 1990 논문 2.1절·감사의 글
Brian Berliner	CVS 를 C 로 다시 짠 CVS II 의 저자(Prisma, 1990)	USENIX Winter 1990 논문
Marc Stevens · Dan Shumow	충돌 탐지 SHA-1(sha1dc) 구현 — 2.13.0 에서 git 의 기본이 되었다. Stevens 는 SHAttered 발표의 첫 저자이기도 하다	RelNotes 2.13.0 · Google Security Blog 2017-02-23
Chris Wanstrath	GitHub 공동 창업자. "GitHub is officially live" 글(2008-04-10)을 썼다	github.blog "We launched" · news.microsoft.com 2018-06-04 사진 설명("Github CEO and co-founder")
Brian Harry	Microsoft 기업 부사장. Windows 의 Git 이전을 블로그로 알렸다(2017)	devblogs.microsoft.com/bharry, 2017-05-24
Jeff King	v2.55.0 까지 커밋 수 2위. CVE-2018-17456·2019-1348 등의 고침에 이름이 있다	data/contributors.tsv · RelNotes 2.14.5·2.14.6 의 Credit 문단
Johannes Schindelin	v2.55.0 까지 커밋 수 3위. CVE-2019-1349‥1387·2022-24765 등의 고침을 썼다	data/contributors.tsv · RelNotes 2.14.6·2.30.3 의 Credit 문단
Patrick Steinhardt	v2.55.0 까지 커밋 수 4위. CVE-2022-41903·23521 의 고침을 다듬었다(GitLab 소속으로 적힘)	data/contributors.tsv · RelNotes 2.30.7 의 Credit 문단
Taylor Blau	CVE-2022-39253·2023-22490 등의 고침을 썼다	RelNotes 2.30.6·2.30.8 의 Credit 문단
