name	minus	plus	exit
agree-01-c-modify	1	1	1
agree-02-c-insert	0	1	1
agree-03-c-delete	1	0	1
agree-04-c-new-func	0	5	1
agree-05-py-modify	1	1	1
agree-06-py-two-hunks	1	2	1
agree-07-gap-6	2	2	1
agree-08-gap-7	2	2	1
agree-09-first-line	1	1	1
agree-10-last-line	1	1	1
agree-11-prepend	0	1	1
agree-12-append	0	1	1
agree-13-from-empty	0	2	1
agree-14-to-empty	2	0	1
agree-15-eol-added	1	1	1
agree-16-eol-removed	1	1	1
agree-17-eol-both-missing	1	1	1
agree-18-one-line-noeol	1	1	1
agree-19-whitespace-only	1	1	1
agree-20-crlf	1	1	1
agree-21-hangul	1	1	1
agree-22-long-func	1	1	1
agree-23-no-func-context	1	1	1
agree-24-many-scattered	5	4	1
agree-25-block-moved	5	5	1
agree-26-blank-between	0	2	1
agree-27-dup-slide	1	0	1
agree-28-dup-insert	0	3	1
agree-29-replace-all	3	3	1
agree-30-binary	0	0	1
