# git version 2.55.0 · tools/make_golden.py 가 만든다
file	expect	how
sha1.tsv	100벡터	sha1sum · git hash-object --stdin
objects/objects.tsv	7객체	git cat-file -t/-s · .git/objects 파일 복사
stored_ok.txt	fsck exit=0	git cat-file · ls-tree · fsck --strict
trees/trees.tsv	12트리	git add · write-tree · ls-tree -r -t
index/plain.bin	stat 0 으로 정규화	git add . (확장 없음)
index/tree-ext.raw	TREE 확장 포함	git commit
index/v3.raw	판 3 · skip-worktree	git update-index --skip-worktree run.sh
dag/equal/expect.txt	equal 역사의 log·merge-base	git log · merge-base
dag/dated/expect.txt	dated 역사의 log·merge-base	git log · merge-base
dag/criss/expect.txt	criss 역사의 log·merge-base	git log · merge-base
dag/criss-equal/expect.txt	criss-equal 역사의 log·merge-base	git log · merge-base
diff/agree.tsv	30쌍	git -c diff.indentHeuristic=false diff --no-index a b
diff/tie.tsv	3쌍	git -c diff.indentHeuristic=false diff --no-index a b
pack/ofs.verify	verify-pack -v	git verify-pack -v ofs.idx
pack/ofs.show-index	색인 항목(자리 이름 crc)	git show-index < ofs.idx
pack/ref.verify	verify-pack -v	git verify-pack -v ref.idx
pack/ref.show-index	색인 항목(자리 이름 crc)	git show-index < ref.idx
pkt/full.log	upload-pack 과의 대화	git upload-pack (GIT_PROTOCOL=version=2)
pkt/two-refs.log	upload-pack 과의 대화	git upload-pack (GIT_PROTOCOL=version=2)
pkt/have-first.log	upload-pack 과의 대화	git upload-pack (GIT_PROTOCOL=version=2)
scen/checkout.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/clone.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/diff.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/errors.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/hello.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-add-add.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-adjacent.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-clean-far.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-conflict.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-delete.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-ff.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-identical.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-into-dev.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-join-3.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-one-apart.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-other-file.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-refine.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-resolve.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/merge-split-4.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/plumbing.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
scen/status.scn	장면 기대 출력	tools/golden_cases.py 의 명령을 git 으로
errors.tsv	18오류	errors 장면에서 뽑음
