name	len	recipe	sha1	blob
empty	0	empty	da39a3ee5e6b4b0d3255bfef95601890afd80709	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
abc	3	text:abc	a9993e364706816aba3e25717850c26c9cd0d89d	f2ba8f84ab5c1bce84a7b441cb1959cfc7093b7f
hello-nl	6	text:hello\n	f572d396fae9206628714fb2ce00f72e94f2258f	ce013625030ba8dba906f756967f9e9ca394464a
fips-448	56	text:abcdbcdecdefdefgefghfghighijhijkijkljklmklmnlmnomnopnopq	84983e441c3bd26ebaae4aa1f95129e5e54670f1	199f24ed041a6af4d09fa175444712eb1849af8d
fox-dog	43	text:The quick brown fox jumps over the lazy dog	2fd4e1c67a2d28fced849ee1bb76e7391b93eb12	ff3bb63948b4b24796d2acd259915f2a9d972638
fox-cog	43	text:The quick brown fox jumps over the lazy cog	de9f2c7fd25e1b3afad3e85a0bd17d9b100db4b3	12e0608ed9f7b714397961a708074b9716a64a21
hangul	7	text:한글\n	a29bf057a04fe90f0f3af0bfcccb0cf358f9145e	7a44627979a55254e1f25e2bdfcfd8b269868610
git-nl	4	text:git\n	b40508769cb0aac22d9f73c8669c3a13f5e9cf0b	5664e303b5dc2e9ef8e14a0845d9486ec1920afd
blob-hello-raw	13	text:blob 6\x00hello\n	ce013625030ba8dba906f756967f9e9ca394464a	dc93d88d7b9d691be200b77ce5cef34ced4131ac
tree-empty-raw	7	text:tree 0\x00	4b825dc642cb6eb9a060e54bf8d69288fbee4904	6f6728c121abb1e99329d8536fc34f6b9de57db2
a-1	1	repeat:61:1	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8	2e65efe2a145dda7ee51d1741299f848e5bf752e
a-2	2	repeat:61:2	e0c9035898dd52fc65c41454cec9c4d2611bfb37	7ec9a4b774e2472d8e38bc18a3aa1912bacf483e
a-3	3	repeat:61:3	7e240de74fb1ed08fa08d38063f6a6a91462a815	7c4a013e52c76442ab80ee5572399a30373600a2
a-4	4	repeat:61:4	70c881d4a26984ddce795f6f71817c9cf4480e79	7284ab4d2836271d66b988ae7d037bd6ef0d5d15
a-8	8	repeat:61:8	b480c074d6b75947c02681f31c90c668c46bf6b8	cb8ac06f17a01706655d6752393a1988fbd7a76f
a-15	15	repeat:61:15	7e13c003a8256cd421055563c5da6571d50713c9	05b287f29c819eb59d847e83ddb2e954945e4bc0
a-16	16	repeat:61:16	3499c60eea227453c779de50fc84e217e9a53a18	6bfbfbad30b02360d1ce804b1f7f9969e3ae9330
a-17	17	repeat:61:17	321a618ba6830de900738b0814d0c9f28ff2fece	51497b755ac01e2ed8756496b31cf0fe9b0346fd
a-31	31	repeat:61:31	65cf771ad2cc0b1e8f89361e3b7bec2365b3ad24	4f1938c172193feefe678e70e8361013d85c53bc
a-32	32	repeat:61:32	68f84a59a3ca2d0e5cb1646fbb164da409b5d8f2	f2d4cbf581ce33f85796fcf43626bec38582155f
a-33	33	repeat:61:33	2368a1ac71c68c4b47b4fb2806508e0eb447aa64	7654786636df33d4bc03c032dcccb9301586839b
a-47	47	repeat:61:47	25883f7a0e732e9ab10e594ea59425dfe4d90359	5e3bf7e629b4908cce461530c17a64365cb47303
a-48	48	repeat:61:48	3e3d6e12b933133de2caa248ea12bd193a67f206	12d42395b020f44bb7710113b31f688d0ebeda7c
a-49	49	repeat:61:49	1e666934c5a35f509aa31bbd9af8a37a1ed13ba6	ffb9b7539bbf3f6537a2dd47b7f5d31b41d52927
a-54	54	repeat:61:54	b05d71c64979cb95fa74a33cdb31a40d258ae02e	60704cd2c753c0419b5d235cbf244ec4c696cded
a-55	55	repeat:61:55	c1c8bbdc22796e28c0e15163d20899b65621d65a	d1985ddc2983785702b9a90effd5aff2f7cfdca4
a-56	56	repeat:61:56	c2db330f6083854c99d4b5bfb6e8f29f201be699	1f973e890f52da1f22fa7e5620a628bc4ee74cb3
a-57	57	repeat:61:57	f08f24908d682555111be7ff6f004e78283d989a	d28c6cde5a5ab0b138bd53a288c23e8c011c4171
a-58	58	repeat:61:58	5ee0f8895f4e1aae6a6661de5c432e34188a5a2d	0c4a133bdfed80d466c90d2383458968db1aa9c9
a-62	62	repeat:61:62	67b4b3923fa178d788a9611b76446c96431071f2	2719875aedd29d2d124c05ebdd6be4cbd085b537
a-63	63	repeat:61:63	03f09f5b158a7a8cdad920bddc29b81c18a551f5	487e57f9763ebddbed2027c4452510c0ae0f95ff
a-64	64	repeat:61:64	0098ba824b5c16427bd7a1122a5a442a25ec644d	71b7a71962774fa5c721e1163f935cb61a0e09e6
a-65	65	repeat:61:65	11655326c708d70319be2610e8a57d9a5b959d3b	44171c1993ae70a544a8e910b00347eed4b8e8f2
a-66	66	repeat:61:66	a4e77d9c0c9344921a0ac998b442ad572afdc5fb	b3b7f7d5e3942acd776ef4d0487a8f23572e5d90
