case	tree
one-file	08585692ce06452da6f82ae66b90d98b55536fca
two-files	3683f870be446c7cc05ffaef9fa06415276e1828
exec-bit	575f026321c3dfb2744c2f8a82df0a32715ed863
nested	a5d7a40e1a0b2bfc041f17f8c21235a3e141c2ab
deep	584072206ae47b37ddf7497be4d8077955bd70f0
sort-trap	78db641b7bb74cb82164c60a960117c1e524a005
prefix-trap	d26fecebc373f98cddfd7a70b1f6f4312eb8997a
empty-file	d0085ff3930a067be066809445ff0b0c7037ecac
many	48b5603f19a9d1d375642d19d9f0046f6d6fbfa3
hangul	01d1fb6658f6c23068f731576d65ff2dccaf92d3
space-name	3d8f4711f61fd01d723fd4b01ab4380b2e222676
only-subdir	1dc6bcbbd0310b4d1bb566b3c9efbab47df84a34
