# 생성 표 — tools/make_data.py 가 docs/api/go1.N.txt 에서 만든다. 손으로 고치지 말 것.
version	new-packages	new-symbols	sample-packages
1.0	126	11640	archive/tar, archive/zip, bufio, bytes, compress/bzip2, compress/flate, compress/gzip, compress/lzw, compress/zlib, container/heap, container/list, container/ring, crypto, crypto/aes, crypto/cipher, crypto/des, crypto/dsa, crypto/ecdsa, crypto/elliptic, crypto/hmac, crypto/md5, crypto/rand, crypto/rc4, crypto/rsa, crypto/sha1, crypto/sha256, crypto/sha512, crypto/subtle, crypto/tls, crypto/x509, crypto/x509/pkix, database/sql, database/sql/driver, debug/dwarf, debug/elf, debug/gosym, debug/macho, debug/pe, encoding/ascii85, encoding/asn1, encoding/base32, encoding/base64, encoding/binary, encoding/csv, encoding/gob, encoding/hex, encoding/json, encoding/pem, encoding/xml, errors, expvar, flag, fmt, go/ast, go/build, go/doc, go/parser, go/printer, go/scanner, go/token, hash, hash/adler32, hash/crc32, hash/crc64, hash/fnv, html, html/template, image, image/color, image/draw, image/gif, image/jpeg, image/png, index/suffixarray, io, io/ioutil, log, log/syslog, math, math/big, math/cmplx, math/rand, mime, mime/multipart, net, net/http, net/http/cgi, net/http/fcgi, net/http/httptest, net/http/httputil, net/http/pprof, net/mail, net/rpc, net/rpc/jsonrpc, net/smtp, net/textproto, net/url, os, os/exec, os/signal, os/user, path, path/filepath, reflect, regexp, regexp/syntax, runtime, runtime/debug, runtime/pprof, sort, strconv, strings, sync, sync/atomic, syscall, testing, testing/iotest, testing/quick, text/scanner, text/tabwriter, text/template, text/template/parse, time, unicode, unicode/utf16, unicode/utf8
1.1	2	7918	go/format, net/http/cookiejar
1.2	2	4797	encoding, image/color/palette
1.3	1	550	debug/plan9obj
1.4	0	435	
1.5	5	901	go/constant, go/importer, go/types, mime/quotedprintable, runtime/trace
1.6	0	275	
1.7	2	280	context, net/http/httptrace
1.8	1	255	plugin
1.9	1	133	math/bits
1.10	0	615	
1.11	0	503	
1.12	0	92	
1.13	1	4065	crypto/ed25519
1.14	1	4521	hash/maphash
1.15	0	130	
1.16	5	4128	embed, go/build/constraint, io/fs, runtime/metrics, testing/fstest
1.17	1	114	runtime/cgo
1.18	2	227	debug/buildinfo, net/netip
1.19	1	309	go/doc/comment
1.20	2	4683	crypto/ecdh, runtime/coverage
1.21	5	417	cmp, log/slog, maps, slices, testing/slogtest
1.22	2	130	go/version, math/rand/v2
1.23	3	135	iter, structs, unique
1.24	6	223	crypto/fips140, crypto/hkdf, crypto/mlkem, crypto/pbkdf2, crypto/sha3, weak
1.25	1	111	testing/synctest
1.26	3	180	crypto/hpke, crypto/mlkem/mlkemtest, testing/cryptotest
1.27	4	317	crypto/mldsa, encoding/json/jsontext, encoding/json/v2, uuid
