# 2부 — 공개에서 Go 1 까지. 버전은 전부 1.0(Go 1 이 굳힌 것). 근거는 Go 1 릴리스 노트의 절.
id	version	kind	title	cite-key	cite-sec	slide-id
go1-append-string	1.0	lang	문자열을 []byte 에 append	relnotes-1.0	Append	p2-v10-append
go1-close-recv	1.0	lang	받기 전용 채널 close 금지	relnotes-1.0	Close	p2-v10-close
go1-complit	1.0	lang	포인터 원소의 타입 이름 생략	relnotes-1.0	Composite literals	p2-v10-complit
go1-init-goroutine	1.0	lang	init 중 고루틴 실행	relnotes-1.0	Goroutines during init	p2-v10-initgo
go1-rune	1.0	lang	rune 타입	relnotes-1.0	The rune type	p2-v10-rune
go1-error	1.0	lang	내장 error 타입	relnotes-1.0	The error type	p2-v10-error
go1-delete	1.0	lang	delete 내장 함수(옛 m[k] = v, false 삭제)	relnotes-1.0	Deleting from maps	p2-v10-delete
go1-maporder	1.0	lang	map 순회 차례는 예측 불가	relnotes-1.0	Iterating in maps	p2-v10-maporder
go1-multiassign	1.0	lang	다중 대입의 평가 차례	relnotes-1.0	Multiple assignment	p2-v10-multiassign
go1-shadow	1.0	toolchain	가려진 결과 변수로 맨 return 거절	relnotes-1.0	Returns and shadowed variables	p2-v10-shadow
go1-copystruct	1.0	lang	안 보이는 필드가 있는 구조체 복사	relnotes-1.0	Copying structs with unexported fields	p2-v10-copystruct
go1-equality	1.0	lang	구조체·배열의 같음, 함수·map 같음 삭제	relnotes-1.0	Equality	p2-v10-equality
go1-hierarchy	1.0	stdlib	패키지 계층 재배치(http → net/http 등)	relnotes-1.0	The package hierarchy	p2-v10-hierarchy
go1-errors-pkg	1.0	stdlib	errors 패키지와 os.Error 의 퇴장	relnotes-1.0	The error type and errors package	
go1-time	1.0	stdlib	time 패키지 재설계(Time·Duration)	relnotes-1.0	Time	
go1-exp	1.0	stdlib	exp·old 나무는 배포판에서 빠짐	relnotes-1.0	The package tree exp	
go1-subrepos	1.0	ecosystem	일부 패키지는 하위 저장소로	relnotes-1.0	Packages moving to subrepositories	
go1-gocmd	1.0	toolchain	go 명령(makefile 없이 빌드)	relnotes-1.0	The go command	p2-v10-gocmd
go1-packaged	1.0	ecosystem	바이너리 배포판(Windows 포함)	relnotes-1.0	Packaged releases	p2-v10-packaged
