# 4부 — Go 1.5 ~ 1.10 의 기능 행. 파트 작성 서브에이전트가 쓴다.
id	version	kind	title	cite-key	cite-sec	slide-id
p4-15-nomorec	1.5	toolchain	컴파일러·런타임에서 C 를 걷어냄	relnotes-1.5	No more C	p4-v15-nomorec
p4-15-bootstrap	1.5	toolchain	Go 로 Go 를 빌드(부트스트랩)	relnotes-1.5	Build	p4-v15-bootstrap
p4-15-rename	1.5	toolchain	6g·8g → go tool compile·link·asm	relnotes-1.5	Renaming	p4-v15-toolnames
p4-15-ldx	1.5	toolchain	링커 -X name=value 꼴	relnotes-1.5	Linker	p4-v15-ldflagsx
p4-15-gc	1.5	runtime	동시 쓰레기 수집기	relnotes-1.5	Garbage collector	p4-v15-gc
p4-15-gogc	1.5	runtime	삼색 표시·쓸기, 손잡이는 GOGC 하나	blog-go15gc	The Embellishment	p4-v15-tricolor
p4-15-gomaxprocs	1.5	runtime	GOMAXPROCS 기본값 = 코어 수	relnotes-1.5	Runtime	p4-v15-gomaxprocs
p4-15-maplit	1.5	lang	맵 리터럴 키의 타입 생략	relnotes-1.5	Map literals	p4-v15-maplit
p4-15-internal	1.5	toolchain	internal 패키지를 모든 저장소에	relnotes-1.5	Go command	p4-v15-internal
p4-15-vendor	1.5	toolchain	vendor 디렉터리(실험)	relnotes-1.5	Introduction to Go 1.5	p4-v15-vendor
p4-15-godoc	1.5	toolchain	go doc 명령	relnotes-1.5	Go doc command	p4-v15-godoc
p4-15-bigfloat	1.5	stdlib	math/big.Float	relnotes-1.5	Floats in math/big	p4-v15-bigfloat
p4-15-flag	1.5	stdlib	flag 사용법 메시지와 `N` 표기	relnotes-1.5	Flag	p4-v15-flag
p4-15-netdns	1.5	stdlib	cgo 없는 Go DNS 해석기	relnotes-1.5	Net	p4-v15-netdns
p4-15-lookupenv	1.5	stdlib	os.LookupEnv	api-1.5	pkg os, func LookupEnv(string) (string, bool)	p4-v15-small
p4-15-rawb64	1.5	stdlib	base64 패딩 없는 인코딩	api-1.5	pkg encoding/base64, var RawStdEncoding *Encoding	
p4-15-compare	1.5	stdlib	strings.Compare	api-1.5	pkg strings, func Compare(string, string) int	
p4-15-trace	1.5	toolchain	go tool trace	relnotes-1.5	Trace command	p4-v15-tools
p4-15-gotypes	1.5	stdlib	go/types 가 표준 라이브러리로	relnotes-1.5	Go types	
p4-15-buildmode	1.5	toolchain	-buildmode(공유 라이브러리 등)	relnotes-1.5	Compiler and tools	
p4-15-ports	1.5	platform	darwin/arm64·linux/arm64 포트	relnotes-1.5	Ports	p4-v15-ports
p4-15-sched	1.5	runtime	고루틴 스케줄 순서 변경	relnotes-1.5	Introduction to Go 1.5	
p4-16-http2	1.6	stdlib	투명한 HTTP/2	relnotes-1.6	HTTP/2	p4-v16-http2
p4-16-cgoptr	1.6	toolchain	cgo 포인터 공유 규칙	relnotes-1.6	Cgo	p4-v16-cgoptr
p4-16-mapmisuse	1.6	runtime	맵 동시 오용 감지	relnotes-1.6	Runtime	p4-v16-mapmisuse
p4-16-traceback	1.6	runtime	패닉은 현재 고루틴만 출력	relnotes-1.6	Runtime	p4-v16-traceback
p4-16-sort	1.6	stdlib	sort.Sort 새 구현	relnotes-1.6	Sorting	p4-v16-sort
p4-16-template	1.6	stdlib	템플릿 공백 다듬기와 block	relnotes-1.6	Templates	p4-v16-template
p4-16-vet	1.6	toolchain	vet: Printf 에 넘긴 함수 값	relnotes-1.6	Go vet command	p4-v16-vet
p4-16-vendor	1.6	toolchain	vendor 기본 켜짐	relnotes-1.6	Go command	
p4-16-timeparse	1.6	stdlib	time.Parse 가 없는 날을 거절	relnotes-1.6	Minor changes to the library	p4-v16-small
p4-16-scanbuf	1.6	stdlib	bufio.Scanner.Buffer	api-1.6	pkg bufio, method (*Scanner) Buffer([]uint8, int)	
p4-16-recopy	1.6	stdlib	regexp.Regexp.Copy	api-1.6	pkg regexp, method (*Regexp) Copy() *Regexp	
p4-16-ports	1.6	platform	linux/mips64·android/386, pie 빌드 모드	relnotes-1.6	Ports	p4-v16-ports
p4-16-parser	1.6	toolchain	손으로 쓴 파서(yacc 퇴장)	relnotes-1.6	Compiler Toolchain	
p4-17-context	1.7	stdlib	context 패키지	relnotes-1.7	Context	p4-v17-context
p4-17-withcancel	1.7	stdlib	취소가 트리를 타고 내려감	api-1.7	pkg context, func WithCancel(Context) (Context, CancelFunc)	p4-v17-cancel
p4-17-reqctx	1.7	stdlib	http.Request.Context·exec.CommandContext	api-1.7	pkg net/http, method (*Request) Context() context.Context	p4-v17-deadline
p4-17-lostcancel	1.7	toolchain	vet -lostcancel	relnotes-1.7	Go vet	p4-v17-lostcancel
p4-17-ssa	1.7	toolchain	SSA 백엔드(amd64)	relnotes-1.7	Compiler Toolchain	p4-v17-ssa
p4-17-binsize	1.7	toolchain	더 작은 바이너리	blog-go1.7-binary-size	Results	p4-v17-binsize
p4-17-subtests	1.7	stdlib	하위 테스트 t.Run	relnotes-1.7	Testing	p4-v17-subtests
p4-17-subbench	1.7	stdlib	하위 벤치마크 b.Run	api-1.7	pkg testing, method (*B) Run(string, func(*B)) bool	p4-v17-subrun
p4-17-vendorstd	1.7	toolchain	vendor 가 표준 기능으로	relnotes-1.7	Go command	
p4-17-httptrace	1.7	stdlib	net/http/httptrace	relnotes-1.7	HTTP Tracing	
p4-17-duration0	1.7	stdlib	Duration(0) 은 "0s"	relnotes-1.7	time	p4-v17-small
p4-17-jsonintkey	1.7	stdlib	JSON 맵의 정수 키	relnotes-1.7	encoding/json	
p4-17-structof	1.7	stdlib	reflect.StructOf	api-1.7	pkg reflect, func StructOf([]StructField) Type	
p4-17-callersframes	1.7	runtime	runtime.CallersFrames	api-1.7	pkg runtime, func CallersFrames([]uintptr) *Frames	
p4-17-keepalive	1.7	runtime	runtime.KeepAlive	api-1.7	pkg runtime, func KeepAlive(interface{})	
p4-17-s390x	1.7	platform	linux/s390x 포트	relnotes-1.7	Ports	
p4-18-structconv	1.8	lang	구조체 변환에서 태그 무시	relnotes-1.8	Changes to the language	p4-v18-structconv
p4-18-sortslice	1.8	stdlib	sort.Slice	relnotes-1.8	Sort	p4-v18-sortslice
p4-18-gopath	1.8	toolchain	GOPATH 기본값 $HOME/go	relnotes-1.8	Default GOPATH	p4-v18-gopath
p4-18-ssaall	1.8	toolchain	SSA 백엔드가 모든 아키텍처로	relnotes-1.8	Compiler Toolchain	p4-v18-ssaall
p4-18-defer	1.8	runtime	defer 비용 절반	relnotes-1.8	Defer	
p4-18-gc	1.8	runtime	스택 재스캔 없앤 GC	relnotes-1.8	Garbage Collector	p4-v18-gc
p4-18-shutdown	1.8	stdlib	http.Server.Shutdown	relnotes-1.8	HTTP Server Graceful Shutdown	p4-v18-shutdown
p4-18-push	1.8	stdlib	HTTP/2 서버 푸시	api-1.8	pkg net/http, type Pusher interface { Push }	
p4-18-sqlctx	1.8	stdlib	database/sql 의 context	relnotes-1.8	More Context Support	
p4-18-plugin	1.8	toolchain	plugin 빌드 모드	relnotes-1.8	Plugins	p4-v18-tools
p4-18-gobug	1.8	toolchain	go bug	relnotes-1.8	Go bug	
p4-18-mutexprof	1.8	runtime	뮤텍스 경합 프로파일	relnotes-1.8	Mutex Contention Profiling	
p4-18-liveness	1.8	runtime	인자 생존 범위 축소	relnotes-1.8	Argument Liveness	
p4-18-hostname	1.8	stdlib	url.URL.Hostname·Port	api-1.8	pkg net/url, method (*URL) Hostname() string	p4-v18-small
p4-18-jsonfloat	1.8	stdlib	JSON 실수를 ES6 형식으로	relnotes-1.8	encoding/json	
p4-18-until	1.8	stdlib	time.Until	api-1.8	pkg time, func Until(Time) Duration	
p4-18-mips	1.8	platform	32비트 MIPS 포트	relnotes-1.8	Ports	
p4-19-alias	1.9	lang	타입 별칭 type T1 = T2	relnotes-1.9	Changes to the language	p4-v19-alias
p4-19-monotonic	1.9	stdlib	투명한 단조 시계	relnotes-1.9	Transparent Monotonic Time support	p4-v19-monotonic
p4-19-mathbits	1.9	stdlib	math/bits	relnotes-1.9	New bit manipulation package	p4-v19-mathbits
p4-19-helper	1.9	stdlib	t.Helper	relnotes-1.9	Test Helper Functions	p4-v19-helper
p4-19-syncmap	1.9	stdlib	sync.Map	relnotes-1.9	Concurrent Map	p4-v19-syncmap
p4-19-inline	1.9	runtime	인라인된 프레임과 CallersFrames	relnotes-1.9	Call stacks with inlined frames	p4-v19-frames
p4-19-parallel	1.9	toolchain	패키지 안 함수의 병렬 컴파일	relnotes-1.9	Parallel Compilation	p4-v19-tools
p4-19-vendordots	1.9	toolchain	./... 가 vendor 를 빼고 맞춤	relnotes-1.9	Vendor matching with ./…	
p4-19-testlist	1.9	toolchain	go test -list	relnotes-1.9	Test	
p4-19-fma	1.9	lang	부동소수점 연산 융합(FMA) 규칙	relnotes-1.9	Introduction to Go 1.9	
p4-19-labels	1.9	runtime	프로파일러 레이블	relnotes-1.9	Profiler Labels	
p4-19-gcconc	1.9	runtime	runtime.GC 도 동시 수집	relnotes-1.9	Garbage Collector	
p4-19-durround	1.9	stdlib	Duration.Round·Truncate	api-1.9	pkg time, method (Duration) Round(Duration) Duration	
p4-110-buildcache	1.10	toolchain	빌드 캐시와 내용 기반 판정	relnotes-1.10	Build & Install	p4-v110-buildcache
p4-110-testcache	1.10	toolchain	테스트 결과 캐시	relnotes-1.10	Test	p4-v110-testcache
p4-110-testvet	1.10	toolchain	go test 가 vet 을 먼저 돌림	relnotes-1.10	Test	p4-v110-testvet
p4-110-failfast	1.10	toolchain	go test -failfast·-json	relnotes-1.10	Tools	p4-v110-failfast
p4-110-builder	1.10	stdlib	strings.Builder	relnotes-1.10	strings	p4-v110-builder
p4-110-gofmt	1.10	toolchain	gofmt 의 작은 변화	relnotes-1.10	Gofmt	p4-v110-gofmt
p4-110-cgo	1.10	toolchain	cgo 플래그 허용 목록·Go 문자열	relnotes-1.10	Cgo	p4-v110-cgo
p4-110-lockos	1.10	runtime	LockOSThread 중첩	relnotes-1.10	Runtime	p4-v110-runtime
p4-110-url	1.10	stdlib	ResolveReference 의 이중 빗금	relnotes-1.10	net/url	p4-v110-url
p4-110-fields	1.10	stdlib	bytes.Fields 조각의 용량	relnotes-1.10	bytes	p4-v110-fields
p4-110-round	1.10	stdlib	math.Round·RoundToEven	api-1.10	pkg math, func Round(float64) float64	p4-v110-small
p4-110-shuffle	1.10	stdlib	math/rand.Shuffle	api-1.10	pkg math/rand, func Shuffle(int, func(int, int))	
p4-110-disallow	1.10	stdlib	JSON 모르는 필드 거절	api-1.10	pkg encoding/json, method (*Decoder) DisallowUnknownFields()	
p4-110-goroot	1.10	toolchain	GOROOT 추론·GOTMPDIR	relnotes-1.10	Default GOROOT & GOTMPDIR	
p4-110-gcalloc	1.10	runtime	GC 의 할당 지연 감소	relnotes-1.10	Garbage Collector	
