# 8부 3장 — Go 1.27 의 기능 행. 오케스트레이터가 쓴다(8부는 세 파일로 나뉜다).
id	version	kind	title	cite-key	cite-sec	slide-id
p8-127-genmethod	1.27	lang	제네릭 메서드	relnotes-1.27	Changes to the language	p8-v127-genmethod
p8-127-promoted	1.27	lang	끌어올린 필드를 구조체 리터럴 키로	relnotes-1.27	Changes to the language	p8-v127-promoted
p8-127-infer	1.27	lang	대입 문맥 어디서나 함수 타입 추론	relnotes-1.27	Changes to the language	p8-v127-infer
p8-127-respfile	1.27	toolchain	compile·link 등의 응답 파일(@file)	relnotes-1.27	Tools	
p8-127-bzr	1.27	toolchain	go 명령의 bzr 지원 삭제	relnotes-1.27	Go command	
p8-127-removed	1.27	toolchain	지운 GODEBUG 도 최종 기본값이면 받음	relnotes-1.27	GODEBUG	p8-v127-removed
p8-127-stdver	1.27	toolchain	go test 가 stdversion 검사를 기본으로	relnotes-1.27	go test	p8-v127-stdver
p8-127-testjson	1.27	toolchain	go test -json 의 OutputType	relnotes-1.27	go test	
p8-127-godoc	1.27	toolchain	go doc -ex·pkg@version	relnotes-1.27	go doc	p8-v127-godoc
p8-127-fix	1.27	toolchain	go fix 의 새 modernizer 넷	relnotes-1.27	go fix	p8-v127-fix
p8-127-tidy	1.27	toolchain	go mod tidy 가 require 묶음을 둘로 합침	relnotes-1.27	go mod tidy	p8-v127-tidy
p8-127-trace	1.27	toolchain	go tool trace -http=:포트 는 localhost 만	relnotes-1.27	Trace	
p8-127-closures	1.27	toolchain	클로저 이름을 인라인과 무관하게	relnotes-1.27	Compiler	p8-v127-compiler
p8-127-linemacos	1.27	toolchain	//line 상대 경로·링커 -macos	relnotes-1.27	Linker	
p8-127-labels	1.27	runtime	트레이스백 머리 줄의 고루틴 라벨	relnotes-1.27	Runtime	p8-v127-labels
p8-127-asynctimer	1.27	runtime	asynctimerchan 설정 삭제	relnotes-1.27	Runtime	p8-v127-timer
p8-127-malloc	1.27	runtime	크기별로 특화한 할당 루틴	relnotes-1.27	Faster memory allocation	p8-v127-malloc
p8-127-leak	1.27	runtime	goroutineleak 프로파일 정식판	relnotes-1.27	Goroutine leak profile	p8-v127-leak
p8-127-json	1.27	stdlib	encoding/json/v2·jsontext	api-1.27	pkg encoding/json/v2, func Marshal(interface{}, ...jsonopts.Options) ([]uint8, error) #71497	p8-v127-json
p8-127-jsonv1	1.27	stdlib	encoding/json 이 v2 구현 위로	relnotes-1.27	New encoding/json/v2 and encoding/json/jsontext packages	p8-v127-jsonv1
p8-127-mldsa	1.27	stdlib	crypto/mldsa (FIPS 204)	api-1.27	pkg crypto/mldsa, func GenerateKey(Parameters) (*PrivateKey, error) #77626	p8-v127-mldsa
p8-127-uuid	1.27	stdlib	uuid 패키지	api-1.27	pkg uuid, func NewV7() UUID #62026	p8-v127-uuid
p8-127-simd	1.27	stdlib	simd 패키지(실험)	relnotes-1.27	New experimental simd package	p8-v127-simd
p8-127-randn	1.27	stdlib	(*rand.Rand).N 제네릭 메서드	api-1.27	pkg math/rand/v2, method (*Rand) N[$0 intType]($0) $0 #77853	p8-v127-randn
p8-127-cutlast	1.27	stdlib	strings·bytes.CutLast	api-1.27	pkg strings, func CutLast(string, string) (string, string, bool) #71151	p8-v127-small
p8-127-divide	1.27	stdlib	big.Int.Divide 와 반올림 방식	api-1.27	pkg math/big, method (*Int) Divide(*Int, *Int, *Int, RoundingMode) (*Int, *Int) #76821	
p8-127-urlclone	1.27	stdlib	url.URL.Clone·Values.Clone	api-1.27	pkg net/url, method (*URL) Clone() *URL #73450	
p8-127-unicode17	1.27	stdlib	Unicode 17	api-1.27	pkg unicode, const Version = "17.0.0" #77266	p8-v127-small2
p8-127-maphasher	1.27	stdlib	maphash.Hasher·ComparableHasher	api-1.27	pkg hash/maphash, type ComparableHasher[$0 comparable] struct #70471	
p8-127-testserver	1.27	stdlib	httptest.NewTestServer	api-1.27	pkg net/http/httptest, func NewTestServer(testing.TB, http.Handler) *Server #76608	p8-v127-testserver
p8-127-synctestsleep	1.27	stdlib	synctest.Sleep	api-1.27	pkg testing/synctest, func Sleep(time.Duration) #77169	
p8-127-tls	1.27	stdlib	crypto/tls — GODEBUG 다섯 삭제·Config.Rand 폐기	relnotes-1.27	crypto/tls	p8-v127-crypto
p8-127-mlkem1024	1.27	stdlib	TLS 의 MLKEM1024 키 교환	api-1.27	pkg crypto/tls, const MLKEM1024 CurveID #78543	
p8-127-flate	1.27	stdlib	compress/flate 가 빨라지고 출력이 바뀜	relnotes-1.27	compress/flate	
p8-127-httpdrain	1.27	stdlib	HTTP/1 Body.Close 가 남은 본문을 비움	relnotes-1.27	net/http	
p8-127-typeshasher	1.27	stdlib	go/types.Hasher	api-1.27	pkg go/types, type Hasher struct #69420	
p8-127-gotypesalias	1.27	stdlib	gotypesalias 설정 삭제	relnotes-1.27	go/types	
p8-127-macos	1.27	platform	macOS 13 Ventura 이상	relnotes-1.27	Darwin	p8-v127-ports
p8-127-ppc64	1.27	platform	linux/ppc64 가 ELFv2 ABI 로	relnotes-1.27	PowerPC	
