# 9부 — 1.28 초안(2026-09 기준, tip.golang.org/doc/go1.28). 초안이라 바뀔 수 있다.
id	version	kind	title	cite-key	cite-sec	slide-id
v128-vet	1.28	toolchain	vet 의 새 분석기 scannererr·sqlrowserr	relnotes-1.28	Vet	p9-v128-vet
v128-bootstrap	1.28	toolchain	부트스트랩에 Go 1.26.0 이상 필요	relnotes-1.28	Bootstrap	
v128-flagall	1.28	stdlib	flag.FlagSet.All 이터레이터와 Flag.IsSet	relnotes-1.28	flag	p9-v128-newapi
v128-mustparse	1.28	stdlib	url.MustParse	relnotes-1.28	net/url	
v128-methodquery	1.28	stdlib	http.MethodQuery(QUERY 메서드)	relnotes-1.28	net/http	
v128-base64	1.28	stdlib	base64 EncodedLen 넘침은 panic	relnotes-1.28	encoding/base64	p9-v128-encodedlen
v128-base32	1.28	stdlib	base32 EncodedLen 넘침은 panic	relnotes-1.28	encoding/base32	
v128-proxy	1.28	stdlib	프록시 환경 변수는 소문자가 먼저	relnotes-1.28	net/http	p9-v128-proxy
v128-cancelrequest	1.28	stdlib	Transport.CancelRequest 는 아무 일도 안 함	relnotes-1.28	net/http	
v128-http2idle	1.28	stdlib	HTTP/2 서버의 쉬는 연결 고루틴 정리	relnotes-1.28	net/http	
v128-embed	1.28	stdlib	embed.FS 파일의 ReadAt 이 끝에서 io.EOF	relnotes-1.28	embed	p9-v128-small
v128-fstest	1.28	stdlib	fstest.MapFile 의 ReadAt 도 io.EOF	relnotes-1.28	testing/fstest	
v128-synctest	1.28	stdlib	synctest.Subtest	relnotes-1.28	testing/synctest	
v128-gotypes	1.28	stdlib	types.Scope.Objects	relnotes-1.28	go/types	
v128-goparser	1.28	stdlib	parser.ResolveFile	relnotes-1.28	go/parser	
v128-net	1.28	stdlib	IPMask·IPNet·HardwareAddr 의 TextUnmarshaler	relnotes-1.28	net	
v128-landlock	1.28	stdlib	리눅스 SysProcAttr 의 Landlock 정책	relnotes-1.28	syscall	
