# 생성 표 — tools/make_data.py 가 $GOROOT/src/internal/godebugs/table.go(go1.27.1)와 docs/godebug.txt 에서 만든다. 손으로 고치지 말 것.
setting	package	introduced-in	default-changed-in	old-value
allowmultiplevcs	cmd/go	1.25	-	-
containermaxprocs	runtime	1.25	1.25	0
cryptocustomrand	crypto	1.26	1.26	1
dataindependenttiming	crypto/subtle	1.24	-	-
decoratemappings	runtime	1.25	1.25	0
embedfollowsymlinks	cmd/go	1.25	-	-
execerrdot	os/exec	1.19	-	-
fips140	crypto/fips140	1.24	-	-
fips140ems	crypto/tls	1.27	-	-
gocachehash	cmd/go	1.10	-	-
gocachetest	cmd/go	1.10	-	-
gocacheverify	cmd/go	1.10	-	-
gotestjsonbuildtext	cmd/go	1.24	1.24	1
htmlmetacontenturlescape	html/template	1.27	-	-
http2client	net/http	1.6	-	-
http2debug	net/http	1.6	-	-
http2server	net/http	1.6	-	-
httpcookiemaxnum	net/http	1.26	1.24	0
httplaxcontentlength	net/http	1.22	1.22	1
httpmuxgo121	net/http	1.22	1.22	1
httpservecontentkeepheaders	net/http	1.23	1.23	1
installgoroot	go/build	1.20	-	-
jstmpllitinterp	html/template	1.21	-	-
multipartmaxheaders	mime/multipart	1.21	-	-
multipartmaxparts	mime/multipart	1.21	-	-
multipathtcp	net	1.21	1.24	0
netdns	net	1.5	-	-
netedns0	net	1.19	1.19	0
panicnil	runtime	1.21	1.21	1
randautoseed	math/rand	1.20	-	-
randseednop	math/rand	1.24	1.24	0
rsa1024min	crypto/rsa	1.24	1.24	0
tarinsecurepath	archive/tar	1.20	-	-
tlsmaxrsasize	crypto/tls	1.22	-	-
tlsmlkem	crypto/tls	1.24	1.24	0
tlssecpmlkem	crypto/tls	1.26	1.26	0
tlssha1	crypto/tls	1.25	1.25	1
tracebacklabels	runtime	1.26	1.27	0
updatemaxprocs	runtime	1.25	1.25	0
urlmaxqueryparams	net/url	1.26	1.24	0
urlstrictcolons	net/url	1.26	1.26	0
winreadlinkvolume	os	1.23	1.23	0
winsymlink	os	1.23	1.23	0
x509negativeserial	crypto/x509	1.23	1.23	1
x509rsacrt	crypto/x509	1.24	1.24	0
x509sha256skid	crypto/x509	1.25	1.25	0
x509sslcertoverrideplatform	crypto/x509	1.27	1.27	0
x509usefallbackroots	crypto/x509	1.20	-	-
x509usepolicies	crypto/x509	1.22	1.24	0
zipinsecurepath	archive/zip	1.20	-	-
