# 조립기가 만든다 — 손으로 고치지 말 것.
# 키	절
api-1.10	pkg encoding/json, method (*Decoder) DisallowUnknownFields()
api-1.10	pkg math, func Round(float64) float64
api-1.10	pkg math/rand, func Shuffle(int, func(int, int))
api-1.18	pkg strings, func Clone(string) string
api-1.2	pkg go/ast, type SliceExpr struct, Slice3 bool
api-1.25	pkg reflect, func TypeAssert[$0 interface{}](Value) ($0, bool) #62121
api-1.25	pkg sync, method (*WaitGroup) Go(func()) #63796
api-1.26	pkg crypto/hpke, func MLKEM768X25519() KEM #75300
api-1.26	pkg errors, func AsType[$0 error](error) ($0, bool) #51945
api-1.26	pkg testing/cryptotest, func SetGlobalRandom(*testing.T, uint64) #70942
api-1.27	pkg crypto/mldsa, const MLDSA44SignatureSize = 2420 #77626
api-1.27	pkg math/big, const Trunc = 2 #76821
api-1.27	pkg math/rand/v2, method (*Rand) N[$0 intType]($0) $0 #77853
api-1.27	pkg uuid, type UUID [16]uint8 #62026
api-1.5	pkg encoding/base64, var RawStdEncoding *Encoding
api-1.5	pkg os, func LookupEnv(string) (string, bool)
api-1.6	pkg bufio, method (*Scanner) Buffer([]uint8, int)
api-1.6	pkg regexp, method (*Regexp) Copy() *Regexp
api-1.7	pkg context, func WithCancel(Context) (Context, CancelFunc)
api-1.7	pkg net/http, method (*Request) Context() context.Context
api-1.7	pkg reflect, func StructOf([]StructField) Type
api-1.7	pkg runtime, func CallersFrames([]uintptr) *Frames
api-1.8	pkg net/url, method (*URL) Hostname() string
api-1.8	pkg time, func Until(Time) Duration
blog-1year	Go: one year ago today
blog-alias-names	Availability
blog-alias-names	Background
blog-allocation-optimizations	Stack allocation of append-allocated slices
blog-chacha8rand	Performance
blog-chacha8rand	The ChaCha8Rand Generator
blog-cleanups-and-weak	Why now?
blog-compat	API Checking
blog-compat	An Update on Go 2
blog-compat	Expanded GODEBUG Support in Go 1.21
blog-compat	Input Changes
blog-compat	Output Changes
blog-compat	Protocol Changes
blog-compat	Struct Literals and New Fields
blog-compat	Testing
blog-container-aware-gomaxprocs	Conclusion
blog-container-aware-gomaxprocs	Container Orchestration
blog-container-aware-gomaxprocs	GOMAXPROCS
blog-container-aware-gomaxprocs	Slightly different models
blog-context	Introduction
blog-coretypes	Core types
blog-coretypes	Go 1.25
blog-cover	Test coverage for Go
blog-declaration-syntax	Go's Declaration Syntax
blog-error-syntax	[ On | No ] syntactic support for error handling
blog-fips140	The FIPS 140-3 Go Cryptographic Module
blog-flight-recorder	Example
blog-flight-recorder	Execution traces
blog-flight-recorder	Flight recording
blog-generate	Generating code
blog-generic-methods	Decoupling things
blog-generic-methods	Generic Methods
blog-generic-methods	Methods for organization
blog-generic-methods	The trouble with generic interface methods
blog-generics-next-step	Acknowledgements
blog-generics-next-step	Experimentation tool
blog-generics-next-step	Next steps
blog-generics-next-step	Updated design
blog-generics-proposal	What happens now?
blog-generics-proposal	Why generics?
blog-get-familiar-with-workspaces	Workspace commands
blog-get-familiar-with-workspaces	Workspaces
blog-go1	Go version 1 is released
blog-go1-preview	A preview of Go version 1
blog-go1.11	Go 1.11 is released
blog-go1.13-errors	Adding information
blog-go1.13-errors	Customizing error tests with Is and As methods
blog-go1.13-errors	Examining errors with Is and As
blog-go1.13-errors	Introduction
