# termux-* 명령 색인 — tools/api_table.py 가 캡처에서 만든다. 손으로 고치지 말 것.
# privacy=sensitive 는 PLAN.md §0.8 — 이 덱은 실행하지 않는다.
command	owner-package	needs-app	privacy	run-in-deck	source
termux-am	termux-am-socket	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-am-socket	termux-am-socket	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-api-start	termux-api	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-api-stop	termux-api	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-app-version-name	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-app-version-name.bash	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-app-version-name.sh	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-env-variable	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-env-variable.bash	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-apps-info-env-variable.sh	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-audio-info	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-backup	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-battery-status	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-brightness	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-call-log	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-camera-info	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-camera-photo	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-change-repo	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-chroot	proot	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-clipboard-get	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-clipboard-set	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-contact-list	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-dialog	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-download	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-exec-ld-preload-lib	termux-exec	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-exec-system-linker-exec	termux-exec	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-fingerprint	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-fix-shebang	termux-tools	no	safe	proot	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-info	termux-tools	no	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-infrared-frequencies	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-infrared-transmit	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-job-scheduler	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-keystore	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-location	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-media-player	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-media-scan	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-microphone-record	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-nfc	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-notification	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-notification-channel	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-notification-list	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-notification-remove	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-open	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-open-url	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-reload-settings	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-reset	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-restore	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-create	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-dirs	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-ls	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-managedir	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-mkdir	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-read	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-rm	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-stat	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-saf-write	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-scoped-env-variable	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-scoped-env-variable.bash	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-scoped-env-variable.sh	termux-core	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-sensor	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-setup-package-manager	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-setup-storage	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-share	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-sms-inbox	termux-api	no	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-sms-list	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-sms-send	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-speech-to-text	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-storage-get	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-telephony-call	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-telephony-cellinfo	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-telephony-deviceinfo	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-toast	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-torch	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-tts-engines	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-tts-speak	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-usb	termux-api	yes	sensitive	never	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-vibrate	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-volume	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wake-lock	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wake-unlock	termux-tools	no	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wallpaper	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wifi-connectioninfo	termux-api	yes	safe	native	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wifi-enable	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
termux-wifi-scaninfo	termux-api	yes	safe	-	out/dpkg_stats.txt 3 · out/api_mechanism.txt 4
