# termux-app 태그마다의 minSdk·targetSdk — 태그의 app/build.gradle(없으면 gradle.properties)
# 에서 grep 으로 뽑았다(git show <tag>:app/build.gradle). date 는 태그 커밋의 커밋 날짜.
tag	date	min-sdk	target-sdk	source
v0.17	2015-10-25	21	22	git show v0.17:app/build.gradle (termux-app)
v0.18	2015-11-05	21	22	git show v0.18:app/build.gradle (termux-app)
v0.19	2015-11-13	21	22	git show v0.19:app/build.gradle (termux-app)
v0.20	2015-11-24	21	22	git show v0.20:app/build.gradle (termux-app)
v0.21	2015-11-30	21	23	git show v0.21:app/build.gradle (termux-app)
v0.22	2015-12-12	21	23	git show v0.22:app/build.gradle (termux-app)
v0.23	2015-12-28	21	23	git show v0.23:app/build.gradle (termux-app)
v0.24	2015-12-28	21	23	git show v0.24:app/build.gradle (termux-app)
v0.25	2015-12-30	21	23	git show v0.25:app/build.gradle (termux-app)
v0.26	2016-01-13	21	23	git show v0.26:app/build.gradle (termux-app)
v0.27	2016-01-21	21	23	git show v0.27:app/build.gradle (termux-app)
v0.28	2016-02-09	21	23	git show v0.28:app/build.gradle (termux-app)
v0.29	2016-02-14	21	23	git show v0.29:app/build.gradle (termux-app)
v0.30	2016-02-25	21	23	git show v0.30:app/build.gradle (termux-app)
v0.31	2016-03-21	21	23	git show v0.31:app/build.gradle (termux-app)
v0.32	2016-03-25	21	23	git show v0.32:app/build.gradle (termux-app)
v0.33	2016-04-16	21	23	git show v0.33:app/build.gradle (termux-app)
v0.34	2016-04-22	21	23	git show v0.34:app/build.gradle (termux-app)
v0.35	2016-08-01	21	24	git show v0.35:app/build.gradle (termux-app)
v0.37	2016-08-01	21	24	git show v0.37:app/build.gradle (termux-app)
v0.38	2016-08-05	21	24	git show v0.38:app/build.gradle (termux-app)
v0.39	2016-08-08	21	24	git show v0.39:app/build.gradle (termux-app)
v0.40	2016-09-04	21	24	git show v0.40:app/build.gradle (termux-app)
v0.41	2016-09-05	21	24	git show v0.41:app/build.gradle (termux-app)
v0.42	2016-09-16	21	24	git show v0.42:app/build.gradle (termux-app)
v0.44	2016-12-26	21	25	git show v0.44:app/build.gradle (termux-app)
v0.45	2016-12-27	21	25	git show v0.45:app/build.gradle (termux-app)
v0.46	2016-12-30	21	25	git show v0.46:app/build.gradle (termux-app)
v0.47	2017-02-28	21	25	git show v0.47:app/build.gradle (termux-app)
v0.48	2017-03-02	21	25	git show v0.48:app/build.gradle (termux-app)
v0.49	2017-05-15	21	25	git show v0.49:app/build.gradle (termux-app)
v0.50	2017-05-18	21	25	git show v0.50:app/build.gradle (termux-app)
v0.51	2017-06-05	21	25	git show v0.51:app/build.gradle (termux-app)
v0.52	2017-06-13	21	25	git show v0.52:app/build.gradle (termux-app)
v0.53	2017-06-26	21	25	git show v0.53:app/build.gradle (termux-app)
v0.54	2017-10-28	21	26	git show v0.54:app/build.gradle (termux-app)
v0.55	2017-11-19	21	27	git show v0.55:app/build.gradle (termux-app)
v0.56	2017-11-19	21	27	git show v0.56:app/build.gradle (termux-app)
v0.57	2017-12-07	21	27	git show v0.57:app/build.gradle (termux-app)
v0.59	2017-12-09	21	27	git show v0.59:app/build.gradle (termux-app)
v0.60	2018-01-26	21	27	git show v0.60:app/build.gradle (termux-app)
v0.61	2018-06-15	21	27	git show v0.61:app/build.gradle (termux-app)
v0.62	2018-06-24	21	27	git show v0.62:app/build.gradle (termux-app)
v0.63	2018-06-25	21	27	git show v0.63:app/build.gradle (termux-app)
v0.64	2018-07-02	21	27	git show v0.64:app/build.gradle (termux-app)
v0.65	2018-08-02	21	27	git show v0.65:app/build.gradle (termux-app)
