# 인용하는 문서 — wiki.termux.com(MediaWiki) 문서는 revid 가 핀이다.
# revid 가 비면 tools/doc_text.py --pin 이 지금 리비전으로 채운다.
# md 문서는 source 가 "저장소:경로" 이고 data/repos.tsv 의 핀에서 읽는다.
key	kind	source	revid	why
wiki-main-page	mediawiki	Main Page	6575	wiki.termux.com 문서
wiki-getting-started	mediawiki	Getting started	6500	wiki.termux.com 문서
wiki-installation	mediawiki	Installation	6568	wiki.termux.com 문서
wiki-installing-from-f-droid	mediawiki	Installing from F-Droid	6189	wiki.termux.com 문서
wiki-termux-google-play	mediawiki	Termux Google Play	6569	wiki.termux.com 문서
wiki-package-management	mediawiki	Package Management	6566	wiki.termux.com 문서
wiki-switching-package-manager	mediawiki	Switching package manager	6553	wiki.termux.com 문서
wiki-no-more-dev-packages	mediawiki	No more -dev packages	5016	wiki.termux.com 문서
wiki-differences-from-linux	mediawiki	Differences from Linux	6506	wiki.termux.com 문서
wiki-internal-and-external-storage	mediawiki	Internal and external storage	6473	wiki.termux.com 문서
wiki-sharing-data	mediawiki	Sharing Data	6563	wiki.termux.com 문서
wiki-termux-setup-storage	mediawiki	Termux-setup-storage	6113	wiki.termux.com 문서
wiki-termux-exec	mediawiki	Termux-exec	3944	wiki.termux.com 문서
wiki-termux-fix-shebang	mediawiki	Termux-fix-shebang	6515	wiki.termux.com 문서
wiki-termux-services	mediawiki	Termux-services	6180	wiki.termux.com 문서
wiki-termux-keyring	mediawiki	Termux-keyring	6545	wiki.termux.com 문서
wiki-termux-wake-lock	mediawiki	Termux-wake-lock	5736	wiki.termux.com 문서
wiki-termux-api	mediawiki	Termux:API	6489	wiki.termux.com 문서
wiki-termux-boot	mediawiki	Termux:Boot	6304	wiki.termux.com 문서
wiki-termux-float	mediawiki	Termux:Float	6494	wiki.termux.com 문서
wiki-termux-styling	mediawiki	Termux:Styling	6306	wiki.termux.com 문서
wiki-termux-tasker	mediawiki	Termux:Tasker	6307	wiki.termux.com 문서
wiki-termux-widget	mediawiki	Termux:Widget	6345	wiki.termux.com 문서
wiki-terminal-settings	mediawiki	Terminal Settings	6544	wiki.termux.com 문서
wiki-touch-keyboard	mediawiki	Touch Keyboard	6554	wiki.termux.com 문서
wiki-hardware-keyboard	mediawiki	Hardware Keyboard	6273	wiki.termux.com 문서
wiki-hardware	mediawiki	Hardware	5049	wiki.termux.com 문서
wiki-remote-access	mediawiki	Remote Access	6556	wiki.termux.com 문서
