# 릴리스 — tools/gh_api.py releases 로 받은 GitHub 릴리스(2026-09-18). 날짜는 published_at(UTC).
# notable-change 칸은 (pre-release) 표시만 기계가 채운다. 바뀐 내용은 claims.md 에 릴리스 URL 과 함께 적는다.
repo	tag	date	notable-change	source-url
termux-app	v0.17	2015-10-25		https://github.com/termux/termux-app/releases/tag/v0.17
termux-app	v0.18	2015-11-05		https://github.com/termux/termux-app/releases/tag/v0.18
termux-app	v0.19	2015-11-12		https://github.com/termux/termux-app/releases/tag/v0.19
termux-app	v0.20	2015-11-24		https://github.com/termux/termux-app/releases/tag/v0.20
termux-app	v0.21	2015-11-29		https://github.com/termux/termux-app/releases/tag/v0.21
termux-app	v0.22	2015-12-12		https://github.com/termux/termux-app/releases/tag/v0.22
termux-app	v0.23	2015-12-28		https://github.com/termux/termux-app/releases/tag/v0.23
termux-app	v0.24	2015-12-28		https://github.com/termux/termux-app/releases/tag/v0.24
termux-app	v0.25	2015-12-30		https://github.com/termux/termux-app/releases/tag/v0.25
termux-app	v0.26	2016-01-13		https://github.com/termux/termux-app/releases/tag/v0.26
termux-app	v0.27	2016-01-21		https://github.com/termux/termux-app/releases/tag/v0.27
termux-app	v0.28	2016-02-09		https://github.com/termux/termux-app/releases/tag/v0.28
termux-app	v0.29	2016-02-13		https://github.com/termux/termux-app/releases/tag/v0.29
termux-app	v0.30	2016-02-25		https://github.com/termux/termux-app/releases/tag/v0.30
termux-app	v0.31	2016-03-22		https://github.com/termux/termux-app/releases/tag/v0.31
termux-app	v0.32	2016-03-24		https://github.com/termux/termux-app/releases/tag/v0.32
termux-app	v0.33	2016-04-16		https://github.com/termux/termux-app/releases/tag/v0.33
termux-app	v0.34	2016-04-22		https://github.com/termux/termux-app/releases/tag/v0.34
termux-app	v0.35	2016-07-31		https://github.com/termux/termux-app/releases/tag/v0.35
termux-app	v0.37	2016-08-01		https://github.com/termux/termux-app/releases/tag/v0.37
termux-app	v0.38	2016-08-04		https://github.com/termux/termux-app/releases/tag/v0.38
termux-app	v0.39	2016-08-08		https://github.com/termux/termux-app/releases/tag/v0.39
termux-app	v0.40	2016-09-04		https://github.com/termux/termux-app/releases/tag/v0.40
termux-app	v0.41	2016-09-05		https://github.com/termux/termux-app/releases/tag/v0.41
termux-app	v0.42	2016-09-16		https://github.com/termux/termux-app/releases/tag/v0.42
termux-app	v0.44	2016-12-26		https://github.com/termux/termux-app/releases/tag/v0.44
termux-app	v0.45	2016-12-27		https://github.com/termux/termux-app/releases/tag/v0.45
termux-app	v0.46	2016-12-30		https://github.com/termux/termux-app/releases/tag/v0.46
termux-app	v0.47	2017-02-27		https://github.com/termux/termux-app/releases/tag/v0.47
termux-app	v0.48	2017-03-01		https://github.com/termux/termux-app/releases/tag/v0.48
termux-app	v0.49	2017-05-15		https://github.com/termux/termux-app/releases/tag/v0.49
termux-app	v0.50	2017-05-18		https://github.com/termux/termux-app/releases/tag/v0.50
termux-app	v0.51	2017-06-05		https://github.com/termux/termux-app/releases/tag/v0.51
termux-app	v0.52	2017-06-13		https://github.com/termux/termux-app/releases/tag/v0.52
termux-app	v0.53	2017-06-25		https://github.com/termux/termux-app/releases/tag/v0.53
termux-app	v0.54	2017-10-28		https://github.com/termux/termux-app/releases/tag/v0.54
termux-app	v0.55	2017-11-19		https://github.com/termux/termux-app/releases/tag/v0.55
termux-app	v0.56	2017-11-19		https://github.com/termux/termux-app/releases/tag/v0.56
termux-app	v0.57	2017-12-07		https://github.com/termux/termux-app/releases/tag/v0.57
termux-app	v0.59	2017-12-09		https://github.com/termux/termux-app/releases/tag/v0.59
termux-app	v0.60	2018-01-26		https://github.com/termux/termux-app/releases/tag/v0.60
termux-app	v0.61	2018-06-14		https://github.com/termux/termux-app/releases/tag/v0.61
termux-app	v0.62	2018-06-24		https://github.com/termux/termux-app/releases/tag/v0.62
termux-app	v0.63	2018-06-25		https://github.com/termux/termux-app/releases/tag/v0.63
termux-app	v0.64	2018-07-01		https://github.com/termux/termux-app/releases/tag/v0.64
termux-app	v0.65	2018-08-01		https://github.com/termux/termux-app/releases/tag/v0.65
termux-app	v0.66	2019-01-20		https://github.com/termux/termux-app/releases/tag/v0.66
termux-app	v0.67	2019-04-14		https://github.com/termux/termux-app/releases/tag/v0.67
termux-app	v0.68	2019-04-21		https://github.com/termux/termux-app/releases/tag/v0.68
termux-app	v0.69	2019-05-11		https://github.com/termux/termux-app/releases/tag/v0.69
termux-app	v0.70	2019-05-20		https://github.com/termux/termux-app/releases/tag/v0.70
termux-app	v0.71	2019-05-21		https://github.com/termux/termux-app/releases/tag/v0.71
termux-app	v0.72	2019-05-26		https://github.com/termux/termux-app/releases/tag/v0.72
termux-app	v0.73	2019-08-04		https://github.com/termux/termux-app/releases/tag/v0.73
termux-app	v0.74	2019-08-18		https://github.com/termux/termux-app/releases/tag/v0.74
termux-app	v0.75	2019-09-08		https://github.com/termux/termux-app/releases/tag/v0.75
termux-app	v0.76	2019-10-20		https://github.com/termux/termux-app/releases/tag/v0.76
termux-app	v0.77	2019-10-28		https://github.com/termux/termux-app/releases/tag/v0.77
termux-app	v0.82	2019-11-10		https://github.com/termux/termux-app/releases/tag/v0.82
termux-app	v0.84	2019-11-24		https://github.com/termux/termux-app/releases/tag/v0.84
termux-app	v0.86	2020-01-05		https://github.com/termux/termux-app/releases/tag/v0.86
termux-app	v0.88	2020-01-18		https://github.com/termux/termux-app/releases/tag/v0.88
termux-app	v0.90	2020-02-02		https://github.com/termux/termux-app/releases/tag/v0.90
termux-app	v0.92	2020-02-09		https://github.com/termux/termux-app/releases/tag/v0.92
termux-app	v0.94	2020-03-24		https://github.com/termux/termux-app/releases/tag/v0.94
termux-app	v0.95	2020-06-09		https://github.com/termux/termux-app/releases/tag/v0.95
termux-app	v0.96	2020-07-30		https://github.com/termux/termux-app/releases/tag/v0.96
termux-app	v0.97	2020-08-07	(pre-release)	https://github.com/termux/termux-app/releases/tag/v0.97
termux-app	v0.98	2020-08-07		https://github.com/termux/termux-app/releases/tag/v0.98
termux-app	v0.99	2020-08-26		https://github.com/termux/termux-app/releases/tag/v0.99
termux-app	v0.100	2020-09-27	(pre-release)	https://github.com/termux/termux-app/releases/tag/v0.100
termux-app	v0.101	2020-09-28		https://github.com/termux/termux-app/releases/tag/v0.101
termux-app	v0.102	2020-10-12		https://github.com/termux/termux-app/releases/tag/v0.102
termux-app	v0.103	2020-11-17		https://github.com/termux/termux-app/releases/tag/v0.103
termux-app	v0.104	2020-12-29		https://github.com/termux/termux-app/releases/tag/v0.104
termux-app	v0.105	2021-01-06	(pre-release)	https://github.com/termux/termux-app/releases/tag/v0.105
termux-app	v0.106	2021-01-17		https://github.com/termux/termux-app/releases/tag/v0.106
termux-app	v0.107	2021-02-03	(pre-release)	https://github.com/termux/termux-app/releases/tag/v0.107
