# 연표 — 한 줄에 사건 하나. evidence-kind: git(커밋·태그) · release(GitHub 릴리스) · doc(문서·공지).
# 날짜가 월까지만 확인된 것은 day 칸이 비어 있다. 2025년 이후는 덱에서 "2026-09 기준" 도장과 함께만 쓴다.
year	month	day	event	source	evidence-kind
2015	06	12	termux-packages 저장소의 첫 커밋(Initial commit) — 패키지 빌드 스크립트 모음의 시작	git termux-packages a730abe6e (커밋 날짜 %ad)	git
2015	07	03	termux-api(Termux:API 앱) 저장소의 첫 커밋	git termux-api 9e043ef (커밋 날짜 %ad)	git
2015	07	26	Termux:API 의 첫 GitHub 릴리스 v0.2	https://github.com/termux/termux-api/releases/tag/v0.2	release
2015	10	25	termux-app v0.17 태그: minSdk 21 · targetSdk 22	data/app_sdk.tsv v0.17	git
2015	10	25	termux-app 의 첫 GitHub 릴리스 v0.17	https://github.com/termux/termux-app/releases/tag/v0.17	release
2015	10	25	termux-app 저장소의 첫 커밋(Initial commit)	git termux-app a18ee58 (커밋 날짜 %ad)	git
2015	11	30	targetSdk 23 으로 (v0.21 태그)	data/app_sdk.tsv v0.21	git
2015	12	19	Termux:Styling 의 첫 GitHub 릴리스 v0.7	https://github.com/termux/termux-styling/releases/tag/v0.7	release
2015	12	19	Termux:Widget 의 첫 GitHub 릴리스 v0.3	https://github.com/termux/termux-widget/releases/tag/v0.3	release
2015	12	19	termux-styling 저장소의 첫 커밋	git termux-styling 1a7685d (커밋 날짜 %ad)	git
2015	12	19	termux-widget 저장소의 첫 커밋	git termux-widget 1cff6e4 (커밋 날짜 %ad)	git
2016	08	01	targetSdk 24 로 (v0.35 태그)	data/app_sdk.tsv v0.35	git
2016	08	21	termux/proot 저장소 — PRoot 의 next 가지를 들여온 커밋	git proot 65251ed (커밋 날짜 %ad)	git
2016	11	20	termux-tasker 저장소의 첫 커밋	git termux-tasker 5a40848 (커밋 날짜 %ad)	git
2016	12	26	Termux:Tasker 의 첫 GitHub 릴리스 v0.1	https://github.com/termux/termux-tasker/releases/tag/v0.1	release
2016	12	26	targetSdk 25 로 (v0.44 태그)	data/app_sdk.tsv v0.44	git
2016	12	29	termux-boot 저장소의 첫 커밋	git termux-boot 84f71a2 (커밋 날짜 %ad)	git
2017	04	04	termux-float 새 저장소의 첫 커밋	git termux-float d8951d5 (커밋 날짜 %ad)	git
2017	04	05	Termux:Float 의 첫 GitHub 릴리스 v0.8	https://github.com/termux/termux-float/releases/tag/v0.8	release
2017	04	09	termux-api-package 의 첫 GitHub 릴리스 v0.22	https://github.com/termux/termux-api-package/releases/tag/v0.22	release
