# 조립기가 만든다 — 손으로 고치지 말 것.
# 저장소	커밋	경로	줄
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/cli/cli.c	139-145
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/syscall/enter.c	1880-1884
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/syscall/exit.c	95-128
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/syscall/seccomp.c	282-303
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/syscall/seccomp.c	331-435
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/syscall/seccomp.c	97-121
proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	src/tracee/event.c	113-131
proot-distro	f832a56f2e8aab659a915600598b5321996aad78	proot_distro/cli.py	90-119
proot-distro	f832a56f2e8aab659a915600598b5321996aad78	proot_distro/commands/login/proot_cmd.py	129-157
proot-distro	f832a56f2e8aab659a915600598b5321996aad78	proot_distro/commands/login/proot_cmd.py	21-32
proot-distro	f832a56f2e8aab659a915600598b5321996aad78	proot_distro/commands/login/proot_cmd.py	212-215
proot-distro	f832a56f2e8aab659a915600598b5321996aad78	proot_distro/sysdata.py	21-51
termux-api	fc26ce17e3badf85d4df191af364fcf7798047f1	app/src/main/java/com/termux/api/TermuxApiReceiver.java	88-101
termux-api	fc26ce17e3badf85d4df191af364fcf7798047f1	app/src/main/java/com/termux/api/apis/BatteryStatusAPI.java	150-166
termux-api	fc26ce17e3badf85d4df191af364fcf7798047f1	app/src/main/java/com/termux/api/apis/LocationAPI.java	238-246
termux-api	fc26ce17e3badf85d4df191af364fcf7798047f1	app/src/main/java/com/termux/api/apis/SmsInboxAPI.java	250-277
termux-api-package	9e7f1531e1aa4a9c1e261a2dbde4de93653c366e	termux-api.c	45-85
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/AndroidManifest.xml	16-16
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/AndroidManifest.xml	22-38
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/AndroidManifest.xml	46-46
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/AndroidManifest.xml	5-5
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/cpp/termux-bootstrap-zip.S	1-18
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/java/com/termux/app/TermuxInstaller.java	207-215
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/java/com/termux/app/TermuxInstaller.java	41-59
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/java/com/termux/app/TermuxService.java	203-207
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/java/com/termux/app/TermuxService.java	303-330
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	app/src/main/java/com/termux/app/TermuxService.java	322-323
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	settings.gradle	1-1
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	terminal-emulator/src/main/jni/termux.c	25-59
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	terminal-emulator/src/main/jni/termux.c	65-86
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	terminal-emulator/src/main/jni/termux.c	98-113
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	termux-shared/src/main/java/com/termux/shared/termux/settings/properties/TermuxPropertyConstants.java	103-375
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	termux-shared/src/main/java/com/termux/shared/termux/shell/command/runner/terminal/TermuxSession.java	105-114
termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	termux-shared/src/main/java/com/termux/shared/termux/shell/command/runner/terminal/TermuxSession.java	93-103
termux-boot	a8493bd6ba016bc370af34aa65fcbe065cc00ced	app/src/main/java/com/termux/boot/BootJobService.java	23-44
termux-core-package	efbbd0da3ad9b22d6f5965631fa5cb13beaad9c9	lib/termux-core_nos_c/tre/src/termux/file/TermuxFile.c	301-319
termux-core-package	efbbd0da3ad9b22d6f5965631fa5cb13beaad9c9	lib/termux-core_nos_c/tre/src/termux/file/TermuxFile.c	321-341
termux-exec	2cd0ba6b907565484130851f9617523c98df8615	lib/termux-exec_nos_c/tre/src/termux/api/termux_exec/service/ld_preload/TermuxExecLDPreload.c	43-62
