# 논문 색인 — <!--CITE key=…--> 는 여기 있는 key 만 쓸 수 있다.
# 본문은 make papers 가 papers/<key>.txt 로 받는다(커밋하지 않는 캐시).
key	arxiv-id	title	first-author	year	venue	what-it-pins	url
mcculloch1943	-	A logical calculus of the ideas immanent in nervous activity	McCulloch	1943	Bulletin of Mathematical Biophysics 5(4):115-133	인공 뉴런의 시작	https://doi.org/10.1007/BF02478259
rosenblatt1958	-	The perceptron: A probabilistic model for information storage and organization in the brain	Rosenblatt	1958	Psychological Review 65(6):386-408	퍼셉트론	https://doi.org/10.1037/h0042519
rumelhart1986	-	Learning representations by back-propagating errors	Rumelhart	1986	Nature 323(6088):533-536	역전파	https://doi.org/10.1038/323533a0
elman1990	-	Finding Structure in Time	Elman	1990	Cognitive Science 14(2):179-211	단순 순환 신경망(Elman RNN)	https://doi.org/10.1207/s15516709cog1402_1
hochreiter1997	-	Long Short-Term Memory	Hochreiter	1997	Neural Computation 9(8):1735-1780	LSTM	https://doi.org/10.1162/neco.1997.9.8.1735
bengio2003	-	A Neural Probabilistic Language Model	Bengio	2003	JMLR 3:1137-1155	신경망 언어 모델·단어 임베딩	https://www.jmlr.org/papers/v3/bengio03a.html
mikolov2013	1301.3781	Efficient Estimation of Word Representations in Vector Space	Mikolov	2013	arXiv	word2vec 단어 임베딩	https://arxiv.org/abs/1301.3781
graves2013	1308.0850	Generating Sequences With Recurrent Neural Networks	Graves	2013	arXiv	RNN 문자 생성	https://arxiv.org/abs/1308.0850
srivastava2014	-	Dropout: A Simple Way to Prevent Neural Networks from Overfitting	Srivastava	2014	JMLR 15(56):1929-1958	드롭아웃	https://jmlr.org/papers/v15/srivastava14a.html
cho2014	1406.1078	Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation	Cho	2014	EMNLP 2014 (arXiv 주석)	RNN 인코더-디코더·GRU	https://arxiv.org/abs/1406.1078
bahdanau2014	1409.0473	Neural Machine Translation by Jointly Learning to Align and Translate	Bahdanau	2014	ICLR 2015 (arXiv 주석)	가산 어텐션의 시작	https://arxiv.org/abs/1409.0473
sutskever2014	1409.3215	Sequence to Sequence Learning with Neural Networks	Sutskever	2014	arXiv	LSTM seq2seq 번역	https://arxiv.org/abs/1409.3215
kingma2014	1412.6980	Adam: A Method for Stochastic Optimization	Kingma	2014	ICLR 2015 (arXiv 주석)	Adam·β1 0.9 β2 0.999 ε 1e-8 기본값	https://arxiv.org/abs/1412.6980
luong2015	1508.04025	Effective Approaches to Attention-based Neural Machine Translation	Luong	2015	EMNLP 2015 (arXiv 주석)	곱셈(내적) 어텐션	https://arxiv.org/abs/1508.04025
sennrich2015	1508.07909	Neural Machine Translation of Rare Words with Subword Units	Sennrich	2015	ACL 2016 (arXiv 주석)	BPE 서브워드 토큰화의 출처	https://arxiv.org/abs/1508.07909
he2015	1512.03385	Deep Residual Learning for Image Recognition	He	2015	arXiv (Tech report)	잔차 연결	https://arxiv.org/abs/1512.03385
hendrycks2016	1606.08415	Gaussian Error Linear Units (GELUs)	Hendrycks	2016	arXiv	GELU 정확식과 tanh 근사	https://arxiv.org/abs/1606.08415
