# 부(部)마다 몇 장을 목표로 하는가 — PLAN.md §6 의 표를 그대로 옮긴 것.
# 조립기가 실제 장수와 견줘 준다.
#
# 상한은 2000장(사용자가 2026-09-16 에 못 박았다). 목표 띠는 1,400~1,800.
# 목표를 넘겼다고 그 자리에서 줄이지는 않는다 — 한 장에 한 가지만 담다 보면
# 늘어나는 것이 정상이다. 다만 남은 부의 예산이 얼마인지는 늘 보이게 둔다.
# 1,900 에 닿으면 8·9부의 산문을 조인다. 부록과 증거는 건드리지 않는다.
#
# 압축 덱은 쓰고 나니 예상의 44%, 무선 덱은 3분의 1 남짓이었다. 여기서도
# 그러면 합계가 900 근처인데 그래도 괜찮다 — 채우려고 늘리지 말 것.
#
# 기록 실행의 모양(d·L·ctx·스텝 수·스레드 수)도 7단계에서 이 파일 아래에
# 적는다. 산문에는 적지 않는다(PLAN.md §9 결정 4·5).
#
#  부  목표
0    25
1    70
2    90
3   120
4   110
5    90
6   130
7   130
8   130
9   130
10   90
11  110
12   70
13   40
14  240

# ── 기록 실행의 모양 (7단계, 2026-09-16) ──────────────────────────────
# 합성 과제 (py/demo/tasks.py): d 64 · L 2 · h 4 · d_ff 256 · B 32 ·
#   lr 6e-3 · 워밍업 150 · 씨앗 1 · 줄 머리 맞춤 · 스레드 4
#   add·addplain T 13 · 3000 스텝 / sort·reverse T 14 · 2000 스텝 /
#   parity T 19 · 1600 스텝
# 언어 모델 (py/demo/lm.py): 어휘 512 · T 48 · d 64 · L 3 · h 4 ·
#   B 16 · 640 스텝 · lr 5e-3 · 워밍업 50 · 검증 160 스텝마다 8배치
# 한 번의 학습이 §0.7 의 3분을 넘는 것이 있다(덧셈 둘·정렬) — PLAN.md 7단계 기록.
