# 조립기가 만든다 — 손으로 고치지 말 것.
# 키	절
ainslie2023	
ainslie2023	2.1
ainslie2023	2.2
ba2016	3
bahdanau2014	
bahdanau2014	3.1
bengio2003	
brown2020	
brown2020	2.1
cho2014	
dao2022	3.1
deepseekai2024	
deepseekai2025	
devlin2018	3
devlin2018	3.1
devlin2018	A.1
devlin2018	C.1
elman1990	
fan2018	5.4
grattafiori2024	
graves2013	
he2015	1
he2015	3.1
hendrycks2016	2
hochreiter1997	
hoffmann2022	3.4
hoffmann2022	4.1
hoffmann2022	D.2
holtzman2019	
holtzman2019	1
holtzman2019	3.1
hu2021	
hu2021	4.1
hu2021	4.2
kaplan2020	1.2
kaplan2020	2.1
kaplan2020	3.3
kingma2014	
kudo2018	
loshchilov2017	
loshchilov2017	2
luong2015	
mcculloch1943	
micikevicius2017	
micikevicius2017	3
micikevicius2017	3.1
micikevicius2017	3.2
micikevicius2017	3.3
mikolov2013	
milakov2018	
milakov2018	3
openai2023	
openai2025	
ouyang2022	
press2016	3
radford2018	
radford2019	
raffel2019	
rosenblatt1958	
rumelhart1986	
sennrich2015	3.2
shazeer2019	
shazeer2019	2.4.1
shazeer2019	3
shazeer2019	3.1
shazeer2020	
su2021	3.2
su2021	3.3
su2021	3.4.3
su2021	4.5.5
sutskever2014	
touvron2023	
touvron2023b	
vaswani2017	1
vaswani2017	3.1
vaswani2017	3.2.1
vaswani2017	3.2.2
vaswani2017	3.2.3
vaswani2017	3.3
vaswani2017	3.4
vaswani2017	3.5
vaswani2017	4
vaswani2017	5.1
vaswani2017	5.2
vaswani2017	5.3
vaswani2017	5.4
vaswani2017	6.1
vaswani2017	6.2
wu2016	
xiong2020	1
zhang2019	
