== 1. 말뭉치 파일마다 토큰 수와 .bin 지문 ==
# 파일	어휘	바이트	토큰	FNV-1a64
ko/김소월_가는_봄_삼월.txt	ko512	308	168	9eeb6053ed355651
ko/김소월_가막덤불.txt	ko512	332	168	fbc3efc029481bac
ko/김소월_고적한_날.txt	ko512	397	195	d511b83199f5910b
ko/김소월_공원의_밤.txt	ko512	390	174	d8eefe4f5c95b2fb
ko/김소월_꿈자리.txt	ko512	2047	902	5b68df7f87110781
ko/김소월_나무리벌_노래.txt	ko512	327	177	2d8d12f03abf5219
ko/김유정_금_따는_콩밭.txt	ko512	25299	11530	af1b78722368813d
ko/김유정_동백꽃.txt	ko512	16646	7351	48edc288c66b1d51
ko/김유정_만무방.txt	ko512	54783	24672	db9896c7bef2cc21
ko/김유정_봄봄.txt	ko512	26858	12133	8b2305bc7b25b2f3
ko/김유정_산골_나그네.txt	ko512	23696	10971	25c49c2757259867
ko/김유정_소낙비.txt	ko512	27982	12548	6f79cf0f1f302b4c
ko/김유정_총각과_맹꽁이.txt	ko512	16517	7623	818ba91b13a84717
ko/이상_권태.txt	ko512	25243	11030	bb671abfcd65dab4
ko/이상_단발.txt	ko512	16002	7079	2a5ebbdf702cf10c
ko/이상_동해.txt	ko512	40876	18302	8ced94f2a592cf2e
ko/이상_봉별기.txt	ko512	12730	5518	ca6d81370e7e673a
ko/이상_실화.txt	ko512	21583	9771	038d6a4a747eee49
ko/이상_종생기.txt	ko512	41993	19216	6c17e116fe0bac6f
ko/이상_지주회시.txt	ko512	40085	19586	a67aa711ff6f01d7
ko/이상_환시기.txt	ko512	14386	6507	70164c6de2d50045
ko/한용운_낙화.txt	ko512	618	304	baac94baa86dc524
ko/한용운_일출.txt	ko512	783	431	d864791ee15b71c3
ko/한용운_쥐.txt	ko512	1371	662	6371a10b1cc38be3
ko/한용운_천일.txt	ko512	406	248	a0ab64ea3572dbf9
ko/한용운_파리.txt	ko512	1122	557	2aad6307966723df
ko/한용운_해촌의_석양.txt	ko512	512	271	9ef7b8fc01d8f188
ko/현진건_B사감과_러브레터.txt	ko512	12879	5772	c753eb577338da0a
ko/현진건_고향.txt	ko512	12761	5572	c71534061a75a243
ko/현진건_불.txt	ko512	16358	7266	f919c62b71853c62
ko/현진건_빈처.txt	ko512	32653	14001	22199cf5398481ee
ko/현진건_술_권하는_사회.txt	ko512	24927	10869	065a3e020e366147
ko/현진건_운수_좋은_날.txt	ko512	24348	10858	5240dbe21958adc6
ko/현진건_할머니의_죽음.txt	ko512	22739	10031	39ac88020b43f8eb
en/shakespeare.txt	en512	299963	151370	02648d040292c930
tasks/add_test.txt	add	13000	13000	1eaceb3776172632
tasks/add_train.txt	add	156000	156000	1900f55e46895840
tasks/addplain_test.txt	add	13000	13000	5509b1b2f580b6ca
tasks/addplain_train.txt	add	156000	156000	e3b0998e03c028a8
tasks/parity_test.txt	parity	19000	19000	185acf83bdc18d45
tasks/parity_train.txt	parity	76000	76000	30e26fe838015c6d
tasks/reverse_test.txt	reverse	14000	14000	a5a118d6762978f5
tasks/reverse_train.txt	reverse	84000	84000	0630d4fcb45910d5
tasks/sort_test.txt	sort	14000	14000	161900f874b45615
tasks/sort_train.txt	sort	84000	84000	733b91cede207d85
