== 1. 연산마다 역전파 대 중심 차분 ==
연산                   입력 수  최대 상대 오차
---------------------  -------  --------------
add (퍼짐 (4,3)+(3,))        2         1.0e-10
mul                          2         1.4e-11
div                          2         1.1e-10
pow 3                        1         6.9e-11
exp                          1         1.4e-10
log                          1         7.7e-11
tanh                         1         6.4e-11
matmul (3,4)@(4,2)           2         6.7e-11
matmul 배치                  2         6.5e-11
transpose                    1         4.9e-11
sum axis 1                   1         2.6e-10
softmax                      1         2.9e-10
log_softmax                  1         4.2e-10
cross_entropy                1         9.4e-10
layernorm                    3         3.1e-10
gelu                         1         4.0e-10
causal_softmax               1         4.6e-10
rope                         1         9.8e-11
scaled_dot_product           3         9.3e-10

차분 h = 1e-6, 오차 = max|역전파 − 차분| / max(크기).
