== 1. 순수 파이썬 학습 — 덧셈 과제 ==
Config(V=13, T=13, d=16, L=1, h=2, d_ff=64, pos=learned) · 파라미터 3728개 · 배치 4

스텝    손실    학습률  기울기 노름
----  ------  --------  -----------
   1  2.5694  1.00e-03        1.009
  10  2.4105  1.00e-02        0.773
  20  2.0062  9.82e-03        0.822
  30  1.7647  9.29e-03        0.695
  40  1.6951  8.45e-03        0.573
  50  1.7212  7.37e-03        0.791
  60  1.6895  6.14e-03        0.679
  70  1.6326  4.86e-03        0.661
  80  1.6772  3.63e-03        0.669
  90  1.6231  2.55e-03        0.457
 100  1.6832  1.71e-03        0.379
 110  1.6476  1.18e-03        0.496
 120  1.6291  1.00e-03        0.743
