band	ul_mhz	dl_mhz	duplex	generation	note	source
# 주파수 대역 색인 — tools/extract_bands.py 가 만든다.
# 손으로 고치지 말 것.
# band·ul_mhz·dl_mhz·duplex 는 규격 원문의 표에서 뽑았다
# (TS 36.101 표 5.5-1 · TS 38.101-1/2 표 5.2-1, 단위 MHz).
# note 칸만 사람이 붙인 흔한 이름이다 — 규격에 없는 칸이다.
# 지시서의 region 칸 대신 duplex·note 를 두었다.
# 규격에 없는 칸을 지어내지 않으려는 것이다.
1	1920-1980	2110-2170	FDD	4G(LTE)	IMT 2100 — 3G·4G 의 주력 대역	3GPP TS 36.101 표 5.5-1
2	1850-1910	1930-1990	FDD	4G(LTE)	PCS 1900 (북미)	3GPP TS 36.101 표 5.5-1
3	1710-1785	1805-1880	FDD	4G(LTE)	DCS 1800 — GSM 1800 이 쓰던 대역	3GPP TS 36.101 표 5.5-1
4	1710-1755	2110-2155	FDD	4G(LTE)	AWS-1 (북미)	3GPP TS 36.101 표 5.5-1
5	824-849	869-894	FDD	4G(LTE)	셀룰러 850 — AMPS·IS-95 가 쓰던 대역	3GPP TS 36.101 표 5.5-1
6	830-840	875-885	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
7	2500-2570	2620-2690	FDD	4G(LTE)	IMT-E 2600	3GPP TS 36.101 표 5.5-1
8	880-915	925-960	FDD	4G(LTE)	GSM 900	3GPP TS 36.101 표 5.5-1
9	1749.9-1784.9	1844.9-1879.9	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
10	1710-1770	2110-2170	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
11	1427.9-1447.9	1475.9-1495.9	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
12	699-716	729-746	FDD	4G(LTE)	700 하위 (북미)	3GPP TS 36.101 표 5.5-1
13	777-787	746-756	FDD	4G(LTE)	700 상위 C 블록 (북미)	3GPP TS 36.101 표 5.5-1
14	788-798	758-768	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
17	704-716	734-746	FDD	4G(LTE)	700 B·C 블록 (북미)	3GPP TS 36.101 표 5.5-1
18	815-830	860-875	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
19	830-845	875-890	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
20	832-862	791-821	FDD	4G(LTE)	800 디지털 배당 (유럽)	3GPP TS 36.101 표 5.5-1
21	1447.9-1462.9	1495.9-1510.9	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
22	3410-3490	3510-3590	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
23	2000-2020	2180-2200	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
24	1626.5-1660.5	1525-1559	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
25	1850-1915	1930-1995	FDD	4G(LTE)	확장 PCS (북미)	3GPP TS 36.101 표 5.5-1
26	814-849	859-894	FDD	4G(LTE)	확장 셀룰러 850 (북미)	3GPP TS 36.101 표 5.5-1
27	807-824	852-869	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
28	703-748	758-803	FDD	4G(LTE)	APT 700 — 한국 700 MHz 가 여기다	3GPP TS 36.101 표 5.5-1
29	717-728	717-728	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
30	2305-2315	2350-2360	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
31	452.5-457.5	462.5-467.5	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
32	1452-1496	1452-1496	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
33	1900-1920	1900-1920	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
34	2010-2025	2010-2025	TDD	4G(LTE)	2000 TDD (중국)	3GPP TS 36.101 표 5.5-1
35	1850-1910	1850-1910	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
36	1930-1990	1930-1990	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
37	1910-1930	1910-1930	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
38	2570-2620	2570-2620	TDD	4G(LTE)	2600 TDD	3GPP TS 36.101 표 5.5-1
39	1880-1920	1880-1920	TDD	4G(LTE)	1900 TDD (중국)	3GPP TS 36.101 표 5.5-1
40	2300-2400	2300-2400	TDD	4G(LTE)	2300 TDD — 한국 와이브로가 쓰던 대역	3GPP TS 36.101 표 5.5-1
41	2496-2690	2496-2690	TDD	4G(LTE)	2500 TDD	3GPP TS 36.101 표 5.5-1
42	3400-3600	3400-3600	TDD	4G(LTE)	3500 TDD	3GPP TS 36.101 표 5.5-1
43	3600-3800	3600-3800	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
44	703-803	703-803	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
45	1447-1467	1447-1467	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
46	5150-5925	5150-5925	TDD	4G(LTE)	5 GHz 비면허 (LAA)	3GPP TS 36.101 표 5.5-1
47	5855-5925	5855-5925	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
48	3550-3700	3550-3700	TDD	4G(LTE)	CBRS 3550 (미국)	3GPP TS 36.101 표 5.5-1
49	3550-3700	3550-3700	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
50	1432-1517	1432-1517	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
51	1427-1432	1427-1432	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
52	3300-3400	3300-3400	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
53	2483.5-2495	2483.5-2495	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
54	1670-1675	1670-1675	TDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
65	1920-2010	2110-2200	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
66	1710-1780	2110-2200	FDD	4G(LTE)	AWS-3 확장 (북미)	3GPP TS 36.101 표 5.5-1
67	738-758	738-758	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
68	698-728	753-783	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
69	2570-2620	2570-2620	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
70	1695-1710	1995-2020	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
71	663-698	617-652	FDD	4G(LTE)	600 (북미)	3GPP TS 36.101 표 5.5-1
72	451-456	461-466	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
73	450-455	460-465	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
74	1427-1470	1475-1518	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
75	1432-1517	1432-1517	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
76	1427-1432	1427-1432	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
85	698-716	728-746	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
87	410-415	420-425	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
88	412-417	422-427	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
103	787-788	757-758	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
106	896-901	935-940	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
111	1800-1810	1820-1830	FDD	4G(LTE)		3GPP TS 36.101 표 5.5-1
2	1850-1910	1930-1990	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
3	1710-1785	1805-1880	FDD	5G(NR FR1)	DCS 1800	3GPP TS 38.101-1 표 5.2-1
5	824-849	869-894	FDD	5G(NR FR1)	셀룰러 850	3GPP TS 38.101-1 표 5.2-1
7	2500-2570	2620-2690	FDD	5G(NR FR1)	IMT-E 2600	3GPP TS 38.101-1 표 5.2-1
8	880-915	925-960	FDD	5G(NR FR1)	GSM 900	3GPP TS 38.101-1 표 5.2-1
12	699-716	729-746	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
13	777-787	746-756	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
14	788-798	758-768	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
18	815-830	860-875	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
20	832-862	791-821	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
24	1626.5-1660.5	1525-1559	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
25	1850-1915	1930-1995	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
26	814-849	859-894	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
28	703-748	758-803	FDD	5G(NR FR1)	APT 700 — 한국 700 MHz	3GPP TS 38.101-1 표 5.2-1
29	717-728	717-728	SDL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
30	2305-2315	2350-2360	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
31	452.5-457.5	462.5-467.5	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
34	2010-2025	2010-2025	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
38	2570-2620	2570-2620	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
39	1880-1920	1880-1920	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
40	2300-2400	2300-2400	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
41	2496-2690	2496-2690	TDD	5G(NR FR1)	2500 TDD	3GPP TS 38.101-1 표 5.2-1
46	5150-5925	5150-5925	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
47	5855-5925	5855-5925	TDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
