generation	standard	access	modulation	coding	duplex	bandwidth	peak_rate	latency	spectrum	first_launch	source
# 세대별 제원 — 0부의 "한눈에 보기" 와 14부의 비교표가 이 한 파일에서 나온다.
# peak_rate 는 규격의 이론값인지 상용 실측인지를 칸 안에 적는다. 둘을 섞지 말 것.
# 한 줄이 한 규격이다. 같은 세대라도 규격이 다르면 줄을 나눈다.
1G	AMPS	FDMA	음성 FM(최대 편이 ±12 kHz)·제어채널 FSK 10 kbit/s 맨체스터	제어채널만 BCH 부호(순방향 (40,28)·역방향 (48,36))	FDD(간격 45 MHz)	30 kHz	아날로그 음성 — 데이터 없음	—	824–849 / 869–894 MHz	1983-10 시카고(Ameritech)	TIA/EIA-553 · 시카고 상용 개시일
1G	NMT-450	FDMA	FM·FFSK 시그널링 1200 bit/s	없음(반복 전송으로 보호)	FDD(간격 10 MHz)	25 kHz	아날로그 음성	—	453–457.5 / 463–467.5 MHz	1981-10 스웨덴·노르웨이	NMT 규격(Nordic Telecom) · 개통일
1G	TACS	FDMA	FM(최대 편이 ±9.5 kHz)	제어채널 BCH	FDD(간격 45 MHz)	25 kHz	아날로그 음성	—	890–915 / 935–960 MHz	1985-01 영국(Vodafone)	TACS 규격 · Vodafone 개통일
2G	GSM	TDMA 8슬롯 + FDMA	GMSK BT=0.3, 변조율 270.833 kbit/s	컨볼루션 r=1/2 K=5 + CRC + 블록·대각 인터리빙	FDD(GSM900 간격 45 MHz)	200 kHz	음성 13 kbit/s(FR) · 회선 데이터 9.6 kbit/s	—	890–915 / 935–960 MHz (GSM900)	1991-07 핀란드(Radiolinja)	3GPP TS 45.001~45.005 · Radiolinja 개통일
2.5G	GPRS	TDMA(패킷 다중 슬롯)	GMSK	부호화 방식 CS-1~CS-4 (CS-4 는 부호화 없음)	FDD	200 kHz	이론 171.2 kbit/s(8슬롯 CS-4, 슬롯당 21.4)	—	GSM 과 같음	1999~2001 (GSM Release 97 규격)	3GPP TS 45.003 부호화 방식 표
2.75G	EDGE	TDMA(패킷 다중 슬롯)	8PSK(와 GMSK 병용)	변조·부호화 방식 MCS-1~MCS-9	FDD	200 kHz	이론 473.6 kbit/s(8슬롯 MCS-9, 슬롯당 59.2)	—	GSM 과 같음	2003~ (GSM Release 99)	3GPP TS 45.003 MCS 표
2G	IS-95 (cdmaOne)	DS-CDMA 1.2288 Mcps	순방향 QPSK · 역방향 OQPSK(64진 직교 변조)	순방향 컨볼루션 r=1/2 K=9 · 역방향 r=1/3 K=9 + 인터리빙	FDD(간격 45 MHz)	1.25 MHz	음성 8 kbit/s(RS1) · 13 kbit/s(RS2) · 데이터 14.4 kbit/s	—	824–849 / 869–894 MHz	1995-09 홍콩(Hutchison) · 1996-01 한국	TIA/EIA/IS-95-A · 상용 개시일
