series	ts	title	release	pins	url
# 3GPP 규격 색인 (PLAN.md §5 3단계, 120행 이상).
# 번호와 제목은 dynareport 의 시리즈 목록에서 그대로 긁었고,
# release 칸은 그 규격 쪽에 실린 릴리스 가운데 가장 이른 것 —
# 곧 "이 규격이 처음 나온 릴리스" 다. 둘 다 기억으로 적지 않았다.
# 44.060 만 쪽 내려받기가 한 번 실패해 나중에 따로 확인했다.
# ts 칸의 번호가 곧 <!--SPEC ts=...--> 이 쓸 수 있는 번호다.
21	21.905	TR Vocabulary for 3GPP Specifications	Rel-99	3GPP 규격 전체가 쓰는 낱말의 정의 — 모르는 약어는 여기부터	https://www.3gpp.org/dynareport/21905.htm
21	21.915	TR Release 15 Description; Summary of Rel-15 Work Items	Rel-14	Release 15 에 무엇이 들어왔는지의 공식 요약	https://www.3gpp.org/dynareport/21915.htm
21	21.916	TR Release 16 Description; Summary of Rel-16 Work Items	Rel-16	Release 16 요약	https://www.3gpp.org/dynareport/21916.htm
21	21.917	TR Release 17 Description; Summary of Rel-17 Work Items	Rel-17	Release 17 요약 — NTN·RedCap 이 여기 들어온다	https://www.3gpp.org/dynareport/21917.htm
21	21.918	TR Release 18 Description; Summary of Rel-18 Work Items	Rel-18	Release 18 요약 — 5G-Advanced 의 시작	https://www.3gpp.org/dynareport/21918.htm
22	22.011	TS Service accessibility	Rel-99	단말이 어느 망에 붙을 수 있는가 — 접속 제어와 금지 PLMN	https://www.3gpp.org/dynareport/22011.htm
22	22.101	TS Service aspects; Service principles	Rel-99	서비스 원칙 — 3GPP 가 무엇을 서비스라 부르는지의 뿌리	https://www.3gpp.org/dynareport/22101.htm
22	22.060	TS General Packet Radio Service (GPRS); Service description; Stage 1	Rel-99	GPRS 서비스 설명(1단계) — 패킷 서비스의 요구사항	https://www.3gpp.org/dynareport/22060.htm
22	22.261	TS Service requirements for the 5G system	Rel-15	5G 시스템의 서비스 요구사항 — eMBB·URLLC·mMTC 의 숫자가 여기 있다	https://www.3gpp.org/dynareport/22261.htm
22	22.278	TS Service requirements for the Evolved Packet System (EPS)	Rel-8	EPS 서비스 요구사항 — LTE 가 무엇을 해야 하는가	https://www.3gpp.org/dynareport/22278.htm
23	23.002	TS Network architecture	Rel-99	망 구조 — MS·BSS·MSC·SGSN·MME·AMF 가 한 그림에 있다	https://www.3gpp.org/dynareport/23002.htm
23	23.003	TS Numbering, addressing and identification	Rel-99	번호와 식별자 — IMSI·TMSI·GUTI·SUPI·SUCI 의 자릿수	https://www.3gpp.org/dynareport/23003.htm
23	23.060	TS General Packet Radio Service (GPRS); Service description; Stage 2	Rel-99	GPRS 2단계 — 패킷 코어의 절차	https://www.3gpp.org/dynareport/23060.htm
23	23.107	TS Quality of Service (QoS) concept and architecture	Rel-99	QoS 개념과 구조 — 트래픽 클래스 넷	https://www.3gpp.org/dynareport/23107.htm
23	23.122	TS Non-Access-Stratum (NAS) functions related to Mobile Station (MS) in idle mode	Rel-99	유휴 상태 단말의 NAS 기능 — PLMN 선택	https://www.3gpp.org/dynareport/23122.htm
23	23.203	TS Policy and charging control architecture	Rel-7	정책과 과금 제어 구조(PCC) — QCI 가 여기서 온다	https://www.3gpp.org/dynareport/23203.htm
23	23.228	TS IP Multimedia Subsystem (IMS); Stage 2	Rel-5	IMS 2단계 — VoLTE 의 뼈대	https://www.3gpp.org/dynareport/23228.htm
23	23.246	TS Multimedia Broadcast/Multicast Service (MBMS); Architecture and functional description	Rel-5	MBMS 구조와 기능	https://www.3gpp.org/dynareport/23246.htm
23	23.271	TS Functional stage 2 description of Location Services (LCS)	Rel-4	위치 서비스(LCS) 기능 설명	https://www.3gpp.org/dynareport/23271.htm
23	23.401	TS General Packet Radio Service (GPRS) enhancements for Evolved Universal Terrestrial Radio Access Network (E-UTRAN) access	Rel-8	EPS 2단계 — MME·SGW·PGW 와 베어러 절차	https://www.3gpp.org/dynareport/23401.htm
23	23.402	TS Architecture enhancements for non-3GPP accesses	Rel-8	3GPP 가 아닌 접속망(Wi-Fi 등)과의 연동 구조	https://www.3gpp.org/dynareport/23402.htm
23	23.501	TS System architecture for the 5G System (5GS)	Rel-15	5G 시스템 구조 — SBA·네트워크 함수·슬라이싱	https://www.3gpp.org/dynareport/23501.htm
23	23.502	TS Procedures for the 5G System (5GS)	Rel-15	5G 시스템 절차 — 등록·PDU 세션·핸드오버	https://www.3gpp.org/dynareport/23502.htm
23	23.503	TS Policy and charging control framework for the 5G System (5GS); Stage 2	Rel-15	5G 정책·과금 제어 — 5QI 표	https://www.3gpp.org/dynareport/23503.htm
24	24.007	TS Mobile radio interface signalling layer 3; General Aspects	Rel-99	Layer 3 시그널링의 일반 규칙 — 메시지 형식	https://www.3gpp.org/dynareport/24007.htm
24	24.008	TS Mobile radio interface Layer 3 specification; Core network protocols; Stage 3	Rel-99	GSM/UMTS 무선 인터페이스 Layer 3 — MM·CC·SM 메시지	https://www.3gpp.org/dynareport/24008.htm
24	24.011	TS Point-to-Point  (PP) Short Message Service (SMS) support on mobile radio interface	Rel-99	점대점 SMS 의 지원	https://www.3gpp.org/dynareport/24011.htm
24	24.229	TS IP multimedia call control protocol based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP); Stage 3	Rel-5	IMS 의 SIP 사용 규칙	https://www.3gpp.org/dynareport/24229.htm
24	24.301	TS Non-Access-Stratum (NAS) protocol for Evolved Packet System (EPS); Stage 3	Rel-8	EPS NAS 프로토콜(3단계) — EMM·ESM	https://www.3gpp.org/dynareport/24301.htm
24	24.501	TS Non-Access-Stratum (NAS) protocol for 5G System (5GS); Stage 3	Rel-15	5GS NAS 프로토콜(3단계) — 5GMM·5GSM	https://www.3gpp.org/dynareport/24501.htm
25	25.101	TS User Equipment (UE) radio transmission and reception (FDD)	Rel-99	WCDMA 단말의 송수신 요구 — 전력 등급과 감도	https://www.3gpp.org/dynareport/25101.htm
25	25.104	TS Base Station (BS) radio transmission and reception (FDD)	Rel-99	WCDMA 기지국의 송수신 요구	https://www.3gpp.org/dynareport/25104.htm
25	25.201	TS Physical layer - general description	Rel-99	WCDMA 물리계층 총론 — 25.21x 를 읽는 순서	https://www.3gpp.org/dynareport/25201.htm
25	25.211	TS Physical channels and mapping of transport channels onto physical channels (FDD)	Rel-99	WCDMA 물리채널과 전송채널 사상(FDD) — 10 ms 프레임·15 슬롯	https://www.3gpp.org/dynareport/25211.htm
25	25.212	TS Multiplexing and channel coding (FDD)	Rel-99	WCDMA 다중화와 채널 부호화(FDD) — 터보와 레이트 매칭	https://www.3gpp.org/dynareport/25212.htm
25	25.213	TS Spreading and modulation (FDD)	Rel-99	WCDMA 확산과 변조(FDD) — OVSF 와 골드 스크램블링 코드	https://www.3gpp.org/dynareport/25213.htm
25	25.214	TS Physical layer procedures (FDD)	Rel-99	WCDMA 물리계층 절차(FDD) — 1500 Hz 전력 제어	https://www.3gpp.org/dynareport/25214.htm
25	25.215	TS Physical layer; Measurements (FDD)	Rel-99	WCDMA 물리계층 측정(FDD) — CPICH RSCP·Ec/N0	https://www.3gpp.org/dynareport/25215.htm
25	25.221	TS Physical channels and mapping of transport channels onto physical channels (TDD)	Rel-99	TD-SCDMA 물리채널과 사상(TDD)	https://www.3gpp.org/dynareport/25221.htm
25	25.222	TS Multiplexing and channel coding  (TDD)	Rel-99	TD-SCDMA 다중화와 채널 부호화(TDD)	https://www.3gpp.org/dynareport/25222.htm
25	25.223	TS Spreading and modulation (TDD)	Rel-99	TD-SCDMA 확산과 변조(TDD)	https://www.3gpp.org/dynareport/25223.htm
25	25.224	TS Physical layer procedures (TDD)	Rel-99	TD-SCDMA 물리계층 절차(TDD)	https://www.3gpp.org/dynareport/25224.htm
25	25.301	TS Radio interface protocol architecture	Rel-99	UTRAN 무선 인터페이스 프로토콜 구조	https://www.3gpp.org/dynareport/25301.htm
25	25.302	TS Services provided by the physical layer	Rel-99	물리계층이 상위에 제공하는 서비스 — 전송채널의 정의	https://www.3gpp.org/dynareport/25302.htm
25	25.306	TS UE Radio Access capabilities	Rel-99	UMTS 단말 범주표 — HSDPA 최대 속도가 여기 있다	https://www.3gpp.org/dynareport/25306.htm
25	25.308	TS High Speed Downlink Packet Access (HSDPA); Overall description; Stage 2	Rel-5	HSDPA 총론 — HS-DSCH·HS-SCCH 의 얼개	https://www.3gpp.org/dynareport/25308.htm
25	25.319	TS Enhanced uplink; Overall description; Stage 2	Rel-7	HSUPA(E-DCH) 총론	https://www.3gpp.org/dynareport/25319.htm
25	25.321	TS Medium Access Control (MAC) protocol specification	Rel-99	UMTS MAC 프로토콜	https://www.3gpp.org/dynareport/25321.htm
25	25.322	TS Radio Link Control (RLC)  protocol specification	Rel-99	UMTS RLC 프로토콜	https://www.3gpp.org/dynareport/25322.htm
25	25.323	TS Packet Data Convergence Protocol (PDCP) specification	Rel-99	UMTS PDCP — 헤더 압축	https://www.3gpp.org/dynareport/25323.htm
25	25.331	TS Radio Resource Control (RRC); Protocol specification	Rel-99	UMTS RRC 프로토콜 — 소프트 핸드오버 시그널링	https://www.3gpp.org/dynareport/25331.htm
25	25.401	TS UTRAN overall description	Rel-99	UTRAN 총론 — RNC 와 Node B	https://www.3gpp.org/dynareport/25401.htm
25	25.413	TS UTRAN Iu interface Radio Access Network Application Part (RANAP) signalling	Rel-99	RANAP — Iu 인터페이스의 제어 평면	https://www.3gpp.org/dynareport/25413.htm
26	26.071	TS Mandatory speech CODEC speech processing functions; AMR speech Codec; General description	Rel-99	AMR 음성 부호기 총론 — 여덟 가지 속도	https://www.3gpp.org/dynareport/26071.htm
26	26.090	TS Mandatory Speech Codec speech processing functions; Adaptive Multi-Rate (AMR) speech codec; Transcoding functions	Rel-99	AMR 부호화·복호화 알고리즘	https://www.3gpp.org/dynareport/26090.htm
26	26.171	TS Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; General description	Rel-5	AMR-WB 총론	https://www.3gpp.org/dynareport/26171.htm
26	26.190	TS Speech codec speech processing functions; Adaptive Multi-Rate - Wideband (AMR-WB) speech codec; Transcoding functions	Rel-5	AMR-WB 부호화 알고리즘	https://www.3gpp.org/dynareport/26190.htm
26	26.441	TS Codec for Enhanced Voice Services (EVS); General overview	Rel-12	EVS 부호기 총론	https://www.3gpp.org/dynareport/26441.htm
26	26.445	TS Codec for Enhanced Voice Services (EVS); Detailed algorithmic description	Rel-12	EVS 알고리즘 상세	https://www.3gpp.org/dynareport/26445.htm
27	27.007	TS AT command set for User Equipment (UE)	Rel-99	AT 명령 집합 — 모뎀에 말을 거는 방법	https://www.3gpp.org/dynareport/27007.htm
27	27.060	TS Packet domain;  Mobile Station (MS) supporting Packet Switched services	Rel-99	패킷 도메인에서 단말의 동작	https://www.3gpp.org/dynareport/27060.htm
28	28.541	TS Management and orchestration; 5G Network Resource Model (NRM); Stage 2 and stage 3	Rel-15	5G 망 자원 모형(NRM) — 관리 평면이 보는 망	https://www.3gpp.org/dynareport/28541.htm
29	29.002	TS Mobile Application Part (MAP) specification	Rel-99	MAP — HLR·VLR 사이의 언어	https://www.3gpp.org/dynareport/29002.htm
29	29.060	TS General Packet Radio Service (GPRS); GPRS Tunnelling Protocol (GTP) across the Gn and Gp interface	Rel-99	GTP(GPRS 터널링 프로토콜)	https://www.3gpp.org/dynareport/29060.htm
29	29.274	TS 3GPP Evolved Packet System (EPS); Evolved General Packet Radio Service (GPRS) Tunnelling Protocol for Control plane (GTPv2-C); Stage 3	Rel-8	GTPv2-C — EPS 제어 평면 터널	https://www.3gpp.org/dynareport/29274.htm
29	29.281	TS General Packet Radio System (GPRS) Tunnelling Protocol User Plane (GTPv1-U)	Rel-8	GTP-U — 사용자 평면 터널	https://www.3gpp.org/dynareport/29281.htm
29	29.500	TS 5G System; Technical Realization of Service Based Architecture; Stage 3	Rel-15	5GC 서비스 기반 인터페이스의 기술 원칙	https://www.3gpp.org/dynareport/29500.htm
29	29.501	TS 5G System; Principles and Guidelines for Services Definition; Stage 3	Rel-15	5GC SBI 의 설계 원칙과 규약 — HTTP/2 와 OpenAPI	https://www.3gpp.org/dynareport/29501.htm
29	29.510	TS 5G System; Network function repository services; Stage 3	Rel-15	NRF 서비스 — 네트워크 함수를 찾는 방법	https://www.3gpp.org/dynareport/29510.htm
31	31.101	TS UICC-terminal interface; Physical and logical characteristics	Rel-99	UICC 와 단말 사이의 물리·논리 인터페이스	https://www.3gpp.org/dynareport/31101.htm
31	31.102	TS Characteristics of the Universal Subscriber Identity Module (USIM) application	Rel-99	USIM 애플리케이션 — 파일 구조와 인증	https://www.3gpp.org/dynareport/31102.htm
31	31.111	TS Universal Subscriber Identity Module (USIM) Application Toolkit (USAT)	Rel-99	USIM 애플리케이션 툴킷	https://www.3gpp.org/dynareport/31111.htm
32	32.240	TS Telecommunication management; Charging management; Charging architecture and principles	Rel-2	과금 구조와 원칙	https://www.3gpp.org/dynareport/32240.htm
