ts	why
# make specs 가 내려받을 규격. 덱이 <!--SPEC ts=... clause=...--> 로
# 조항을 인용하는 것들이다. ts 칸은 specs_3gpp.tsv 의 번호와 같아야 한다.
45.001	덱이 조항을 인용한다
45.002	덱이 조항을 인용한다
45.003	덱이 조항을 인용한다
45.005	덱이 조항을 인용한다
45.008	덱이 조항을 인용한다
43.020	덱이 조항을 인용한다
44.018	덱이 조항을 인용한다
25.211	덱이 조항을 인용한다
25.212	덱이 조항을 인용한다
25.213	덱이 조항을 인용한다
25.214	덱이 조항을 인용한다
25.215	덱이 조항을 인용한다
25.331	덱이 조항을 인용한다
25.308	덱이 조항을 인용한다
36.211	덱이 조항을 인용한다
36.212	덱이 조항을 인용한다
36.213	덱이 조항을 인용한다
36.300	덱이 조항을 인용한다
36.321	덱이 조항을 인용한다
36.331	덱이 조항을 인용한다
36.101	덱이 조항을 인용한다
38.211	덱이 조항을 인용한다
38.212	덱이 조항을 인용한다
38.213	덱이 조항을 인용한다
38.214	덱이 조항을 인용한다
38.300	덱이 조항을 인용한다
38.321	덱이 조항을 인용한다
38.331	덱이 조항을 인용한다
38.401	덱이 조항을 인용한다
38.101-1	덱이 조항을 인용한다
38.101-2	덱이 조항을 인용한다
23.002	덱이 조항을 인용한다
23.401	덱이 조항을 인용한다
23.501	덱이 조항을 인용한다
33.102	덱이 조항을 인용한다
33.401	덱이 조항을 인용한다
33.501	덱이 조항을 인용한다
38.821	덱이 조항을 인용한다
38.901	덱이 조항을 인용한다
38.913	덱이 조항을 인용한다
22.261	덱이 조항을 인용한다
