prd	title	pins	url
# GSMA PRD 색인 (PLAN.md §5 3단계, 30행 이상).
# **주의:** gsma.com 의 PRD 목록 쪽은 자바스크립트로 그려져서 긁을 수 없었다.
# IR.33·IR.34·IR.65·FS.11·FS.19·FS.20·NG.113·NG.114·NG.116 은 2026-09-16 에
# WebSearch·원문 PDF 로 제목을 확인했고, 나머지는 널리 쓰이는 표기를 적었다.
# 덱에서 <!--SPEC org=gsma prd=IR.92--> 로 인용할 수 있는 번호는 이 표의 것뿐이다.
IR.21	Roaming Database, Structure and Updating Procedures	사업자가 로밍 상대에게 넘기는 망 정보의 서식 — MCC/MNC·GT·APN·IP 대역	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.33	GPRS Roaming Guidelines	GPRS 로밍의 GRX 연동 규칙	https://www.gsma.com/newsroom/wp-content/uploads/IR.33-v10.0.pdf
IR.34	Inter-Service Provider IP Backbone Guidelines	IPX/GRX 백본의 설계와 QoS 클래스	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.35	End-to-End Functional Capability Specification for Inter-network SMS	사업자 사이 SMS 의 기능 범위	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.51	IMS Profile for Voice, Video and SMS over untrusted Wi-Fi access	Wi-Fi 통화(VoWiFi)의 단말·망 요구사항	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.58	IMS Profile for Voice over HSPA	HSPA 위의 IMS 음성 프로파일	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.61	Wi-Fi Roaming Guidelines	Wi-Fi 로밍의 인증과 과금	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.65	IMS Roaming, Interconnection and Interworking Guidelines	IMS 로밍·상호접속의 경로와 시그널링	https://www.gsma.com/newsroom/wp-content/uploads/IR.65-v33.0.pdf
IR.67	DNS and ENUM Guidelines for Service Providers and GRX/IPX Providers	사업자 간 이름 풀이 — APN·ENUM 규약	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.77	Inter-Operator IP Backbone Security Requirements	사업자 간 IP 백본의 보안 요구	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.88	LTE and EPC Roaming Guidelines	LTE 로밍 — S8HR 대 LBO 의 선택이 여기서 갈린다	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.92	IMS Profile for Voice and SMS	VoLTE 의 사실상 규격 — 단말이 무엇을 반드시 지원해야 하는가	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
IR.94	IMS Profile for Conversational Video Service	영상통화(ViLTE)의 프로파일	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
NG.113	5GS Roaming Guidelines	5G 로밍 — SEPP 와 N32 인터페이스	https://www.gsma.com/newsroom/wp-content/uploads/NG.113-v12.0.pdf
NG.114	IMS Profile for Voice, Video and Messaging over 5GS	VoNR 의 프로파일 — IR.92 의 5G 판	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
NG.116	Generic Network Slice Template	슬라이스를 주문할 때 쓰는 속성 표(GST)	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.01	Embedded SIM Remote Provisioning Architecture	M2M eSIM 의 구조 — SM-DP 와 SM-SR	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.02	Remote Provisioning Architecture for Embedded UICC Technical Specification	M2M eSIM 의 기술 규격	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.21	RSP Architecture	소비자용 eSIM 의 구조 — SM-DP+ 와 LPA	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.22	RSP Technical Specification	소비자용 eSIM 의 기술 규격 — 프로파일 내려받기 절차	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.31	eSIM IoT Architecture and Requirements	IoT eSIM 의 구조 — eIM 이 들어온다	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
SGP.32	eSIM IoT Technical Specification	IoT eSIM 의 기술 규격	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
FS.11	SS7 Interconnect Security Monitoring Guidelines	SS7 상호접속의 공격 범주와 차단 규칙	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
FS.19	Diameter Interconnect Security	Diameter 상호접속의 보안	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
FS.20	GPRS Tunnelling Protocol (GTP) Security	GTP 의 보안 — 로밍 구간의 터널 공격	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
FS.31	Baseline Security Controls	사업자 망의 기본 보안 통제 목록	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TS.09	Battery Life Measurement and Current Consumption Technique	단말 전류 소모 측정법 — 규격 비교의 바탕	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TS.11	Device Field and Lab Test Guidelines	단말 필드·실험실 시험 지침	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TS.26	NFC Handset Requirements	NFC 단말 요구사항	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TS.27	NFC Handset Test Book	NFC 단말 시험서	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TS.43	Service Entitlement Configuration	VoWiFi·eSIM 같은 서비스의 개통 자격을 단말이 묻는 방법	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
TD.57	TAP Format Specification	로밍 요금 정산 파일(TAP)의 서식	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
RCC.07	Rich Communication Suite Advanced Communications Services and Client Specification	RCS 의 기능과 단말 규격	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
RCC.71	RCS Universal Profile Service Definition Document	RCS 유니버설 프로파일	https://www.gsma.com/get-involved/working-groups/permanent-reference-documents/
