rec	title	pins	url
# ITU-R 권고·보고서 색인. 덱에서는 <!--SPEC org=itu rec=M.2083--> 으로 인용한다.
# 제목은 ITU 의 공식 영문 제목을 그대로 적는다 — 번역하지 않는다.
M.687	International Mobile Telecommunications-2000 (IMT-2000)	IMT-2000 이라는 이름과 개념을 정한 권고	https://www.itu.int/rec/R-REC-M.687/en
M.1034	Requirements for the radio interface(s) for IMT-2000	IMT-2000 무선 인터페이스의 요구사항	https://www.itu.int/rec/R-REC-M.1034/en
M.1036	Frequency arrangements for implementation of the terrestrial component of IMT	IMT 대역의 주파수 배치 — 대역 번호의 국제적 뿌리	https://www.itu.int/rec/R-REC-M.1036/en
M.1225	Guidelines for evaluation of radio transmission technologies for IMT-2000	IMT-2000 후보 기술을 어떻게 평가할 것인가 — 채널 모형이 여기 있다	https://www.itu.int/rec/R-REC-M.1225/en
M.1457	Detailed specifications of the terrestrial radio interfaces of IMT-2000	IMT-2000 에 든 다섯 무선 인터페이스의 목록	https://www.itu.int/rec/R-REC-M.1457/en
M.1645	Framework and overall objectives of the future development of IMT-2000 and systems beyond IMT-2000	4G 를 향한 첫 밑그림	https://www.itu.int/rec/R-REC-M.1645/en
M.2012	Detailed specifications of the terrestrial radio interfaces of IMT-Advanced	IMT-Advanced(4G)로 인정된 규격의 목록	https://www.itu.int/rec/R-REC-M.2012/en
M.2083	IMT Vision: Framework and overall objectives of the future development of IMT for 2020 and beyond	5G 의 세 축(eMBB·URLLC·mMTC)과 능력 육각형의 출처	https://www.itu.int/rec/R-REC-M.2083/en
M.2150	Detailed specifications of the radio interfaces of IMT-2020	IMT-2020(5G)으로 인정된 규격의 목록	https://www.itu.int/rec/R-REC-M.2150/en
M.2160	Framework and overall objectives of the future development of IMT for 2030 and beyond	6G 프레임워크 — 여섯 사용 시나리오와 능력 목표	https://www.itu.int/rec/R-REC-M.2160/en
M.2410	Minimum requirements related to technical performance for IMT-2020 radio interface(s)	5G 가 만족해야 하는 최소 성능 — 20 Gbit/s·1 ms 의 출처	https://www.itu.int/pub/R-REP-M.2410
M.2411	Requirements, evaluation criteria and submission templates for IMT-2020	5G 후보 제출 서식	https://www.itu.int/pub/R-REP-M.2411
M.2412	Guidelines for evaluation of radio interface technologies for IMT-2020	5G 평가 방법 — 시험 환경과 채널 모형	https://www.itu.int/pub/R-REP-M.2412
M.2516	Future technology trends of terrestrial IMT systems towards 2030 and beyond	6G 후보 기술을 훑은 보고서	https://www.itu.int/pub/R-REP-M.2516
P.525	Calculation of free-space attenuation	자유공간 손실식의 국제 표준 근거	https://www.itu.int/rec/R-REC-P.525/en
P.1238	Propagation data and prediction methods for the planning of indoor radiocommunication systems	실내 전파 모형	https://www.itu.int/rec/R-REC-P.1238/en
P.1411	Propagation data and prediction methods for short-range outdoor radiocommunication systems	단거리 옥외 전파 모형	https://www.itu.int/rec/R-REC-P.1411/en
P.1546	Method for point-to-area predictions for terrestrial services	점-면 전계 강도 예측	https://www.itu.int/rec/R-REC-P.1546/en
