year	month	event	region	generation	source
# 무선통신 연표 — 한 줄에 사실 하나, 반드시 출처 칸을 채운다 (PLAN.md §5 2단계).
# month 는 모르면 비운다. generation 은 0G/1G/2G/2.5G/2.75G/3G/3.5G/4G/5G/6G/공통.
# 2025년 이후 행은 2026-09-16 에 WebSearch 로 다시 확인했고 본문에도 "2026-09 기준" 을 붙인다.
# 재현이 안 되거나 이견이 있는 사실(1901 대서양 횡단·1906 브랜트록)은 그 사실을 칸 안에 적었다.
1865		맥스웰이 「전자기장의 동역학 이론」에서 빛이 전자기파임을 보이고 전파의 존재를 예언	영국	공통	Maxwell, A Dynamical Theory of the Electromagnetic Field, Phil. Trans. R. Soc. 155:459 (1865); 1864년 발표·1865년 게재
1887		헤르츠가 불꽃 간극 송신기와 고리형 수신기로 전자기파를 만들어 내고 검출	독일	공통	Hertz, Über sehr schnelle elektrische Schwingungen, Annalen der Physik 267 (1887)
1894		로지가 왕립학회에서 코히러 검파기로 무선 신호를 시연	영국	공통	Lodge, The Work of Hertz and Some of His Successors (1894)
1895		마르코니가 볼로냐 근교에서 2.4 km 거리의 무선 전신에 성공	이탈리아	공통	Marconi 자서전·마르코니 재단 기록
1896	06	마르코니가 영국 특허 12039 「전기 임펄스와 신호의 전송 개선」을 출원	영국	공통	GB patent 12039 (1896)
1897	07	마르코니가 무선전신신호회사를 세움 — 뒷날의 마르코니사	영국	공통	Marconi Company 사사(社史)
1899	03	영불 해협을 가로지르는 무선 전신 통신에 성공	영국·프랑스	공통	Marconi 실험 기록
1900	12	페센든이 코브 아일랜드에서 무선 음성 전송을 실험	미국	공통	Fessenden 실험 노트 · IEEE Milestone
1901	12	마르코니가 대서양 너머에서 모스 부호 S 를 수신했다고 발표 — 재현 기록이 없어 논쟁이 남아 있다	영국·캐나다	공통	Marconi 발표(1901-12-12); 논쟁은 Belrose, Fessenden and Marconi (1995) 참고
1902		헤비사이드와 케넬리가 상층 대기의 전파 반사층을 각각 제안 — 1920년대에 전리층으로 확인된다	영국·미국	공통	Heaviside, Encyclopaedia Britannica 10판 "Telegraphy" (1902); Kennelly, Electrical World and Engineer 39 (1902)
1904		플레밍이 2극 진공관을 특허	영국	공통	GB patent 24850 (1904)
1906	01	디포리스트가 3극관(오디온)의 바탕이 된 진공관을 특허 출원	미국	공통	US patent 841,387 (1907 등록)
1906	12	페센든의 브랜트록 무선 음성 방송 — 근거가 1932년의 회고 편지뿐이라 사실 여부에 이견이 있다	미국	공통	Fessenden 1932 회고; 반론은 Belrose (1994)
1909		마르코니와 브라운이 무선 전신 공로로 노벨 물리학상 수상	—	공통	노벨 재단 수상 기록
1912	04	타이타닉 침몰 — 무선 당직과 조난 주파수 규제의 직접적인 계기가 된다	—	공통	미 상원 타이타닉 조사 보고서(1912)
1912	08	미국 Radio Act of 1912 제정 — 무선 면허 제도와 주파수 배정이 시작된다	미국	공통	Radio Act of 1912, Pub. L. 62-264
1914		암스트롱이 재생(regenerative) 수신 회로를 특허	미국	공통	US patent 1,113,149 (1914)
1918		암스트롱이 슈퍼헤테로다인 수신기를 발명 — 오늘날 모든 무선 수신기의 뼈대	미국	공통	US patent 1,342,885 (1920 등록)
1920	11	KDKA 피츠버그가 정규 라디오 방송을 시작	미국	공통	KDKA 방송국 기록 · IEEE Milestone
1927		워싱턴 국제무선전신회의에서 CCIR 설립 — 뒷날의 ITU-R	—	공통	ITU 연혁(itu.int/en/history)
1928		디트로이트 경찰이 순찰차에 수신 전용 무선을 운용 — 최초의 실용 이동 무선	미국	0G	디트로이트 경찰 기록 · IEEE 연혁
1933	12	암스트롱이 광대역 FM 특허 넷을 등록	미국	공통	US patents 1,941,066 / 1,941,067 등 (1933-12-26)
1935	11	암스트롱이 뉴욕 IRE 에서 FM 을 공개 시연	미국	공통	Armstrong, A Method of Reducing Disturbances in Radio Signaling, Proc. IRE 24 (1936)
1940		모토롤라 SCR-536 핸디토키 — 손에 드는 최초의 양산 무전기	미국	공통	미 육군 통신단 자료 · Motorola 사사
1941		모토롤라 SCR-300 배낭형 FM 무전기 — 워키토키라는 이름이 여기서 나온다	미국	공통	미 육군 통신단 자료 · Motorola 사사
1942	08	헤디 라마르와 조지 앤타일의 주파수 도약 특허 US 2,292,387 등록 — 확산대역의 조상	미국	공통	US patent 2,292,387 (1942-08-11)
1946	06	AT&T 가 세인트루이스에서 MTS 이동전화 서비스를 개시 — 교환원이 연결해 주는 방식	미국	0G	Bell Laboratories Record (1946) · AT&T 기록
1947	12	벨 연구소의 링이 「이동전화 — 광역 커버리지」 메모에서 육각 셀과 주파수 재사용을 제안	미국	0G	D. H. Ring, Bell Labs 사내 메모(1947-12-11), W. R. Young 과 공동
1948	07	섀넌이 「통신의 수학적 이론」을 발표 — 이 책 전체의 상한선이 여기서 정해진다	미국	공통	Shannon, A Mathematical Theory of Communication, BSTJ 27 (1948-07, 1948-10)
1950	04	해밍이 오류 검출·정정 부호를 발표	미국	공통	Hamming, Error Detecting and Error Correcting Codes, BSTJ 29 (1950)
1955		엘리아스가 컨볼루션 부호를 제안	미국	공통	Elias, Coding for Noisy Channels, IRE Conv. Rec. (1955)
1956		에릭슨과 스웨덴 텔레베르케의 MTA 이동전화가 개통 — 무게 40 kg	스웨덴	0G	Ericsson 사사 · 스웨덴 통신박물관
1957	10	스푸트니크 1호 — 위성 전파의 도플러 편이를 재던 것이 위성 측위의 씨앗이 된다	소련	공통	APL 존스홉킨스 연구 기록(Guier·Weiffenbach)
1957		미 연방통신위원회가 주파수 부족을 이유로 이동전화 확장을 제한 — 셀룰러 연구의 동기	미국	0G	FCC 기록
1960		갤러거가 박사 논문에서 LDPC 부호를 제안 — 당시 기술로는 복호가 불가능해 잊힌다	미국	공통	Gallager, Low-Density Parity-Check Codes, IRE Trans. IT 8 (1962)
1960	08	에코 1호 — 금속 풍선으로 전파를 되튀긴 수동 통신위성	미국	공통	NASA Echo 1 미션 기록
1960		리드와 솔로몬이 RS 부호를 발표	미국	공통	Reed & Solomon, Polynomial Codes over Certain Finite Fields, SIAM J. (1960)
