# 부(部)마다 몇 장을 목표로 하는가 — PLAN.md §6 의 표를 그대로 옮긴 것.
# 조립기가 실제 장수와 견줘 준다.
#
# 상한은 3000장(사용자가 2026-09-16 에 못 박았다). 목표 띠는 2,300~2,700.
# 목표를 넘겼다고 그 자리에서 줄이지는 않는다 — 한 장에 한 가지만 담다 보면
# 늘어나는 것이 정상이다. 다만 남은 부의 예산이 얼마인지는 늘 보이게 둔다.
# 2,900 에 닿으면 10·11부의 산문을 조인다. 부록과 증거는 건드리지 않는다.
#
# 압축 덱은 쓰고 나니 예상의 44% 였다. 여기서도 그러면 합계가 1,100 근처인데
# 그래도 괜찮다 — 채우려고 늘리지 말 것.
#
#  부  목표
0    25
1    90
2   200
3   170
4   120
5   110
6   230
7   220
8    90
9   200
10  270
11  270
12  140
13  100
14  110
# 부록 — 용어집·약어표·규격 색인·연표·wirelesslib 전문·퀴즈 정답·참고문헌·사진 출처
15  260
