commons-title	local-file	license	author	slide-id	width
# tools/fetch_photos.py 가 만든다. 손으로 고치지 말 것.
# 자유 라이선스(PD·CC0·CC BY·CC BY-SA)만 들어온다.
# 조립기가 이 표에서 출처 줄을 만들어 사진마다 붙인다.
File:James Clerk Maxwell gravure.jpg	maxwell.jpg	CC0	Gravure of engraving by Stodart based on photograph by Fergus.	p1-maxwell	280
File:HEINRICH HERTZ.JPG	hertz.jpg	Public domain	Robert Krewaldt, Kaiserplatz 16, Bonn	p1-hertz	280
File:Guglielmo Marconi.jpg	marconi.jpg	Public domain	Pach Brothers	p1-marconi	280
File:Fessenden.JPG	fessenden.jpg	Public domain	None listed	p1-fessenden	280
File:Edwin Armstrong wife and portable superhet radio.jpg	armstrong.jpg	Public domain	Unknown authorUnknown author	p1-armstrong	360
File:Hedy Lamarr Publicity Photo for The Heavenly Body 1944.jpg	lamarr.jpg	Public domain	Unknown authorUnknown author	p1-lamarr	280
File:ClaudeShannon MFO3807.jpg	shannon.jpg	CC BY-SA 2.0 de	Jacobs, Konrad	p1-shannon	360
File:DynaTAC8000X.jpg	dynatac.jpg	CC BY-SA 3.0	Redrum0486	p5-dynatac	220
File:Motorola MicroTAC 9800x.jpg	microtac.jpg	Public domain	Ross Padluck (Redrum0486 at English Wikipedia)	p5-microtac	280
File:Nokia 3310 grey front (tidied and enhanced).jpg	nokia3310.jpg	CC BY-SA 4.0	Multicherry	p6-nokia3310	280
File:Nokia 1011 museum.jpg	nokia1011.jpg	CC BY 4.0	Unknown	p6-nokia1011	280
File:Formats de cartes SIM.jpg	simcard.jpg	CC BY-SA 3.0	Bidouille82	p6-sim	360
File:Local steppe^hills landscape with GSM-edge base tranceiver station antenna - panoramio.jpg	gsm_antenna.jpg	CC BY-SA 3.0	Shamil Valeev	p6-antenna	280
File:10-08ViterbiBIG.jpg	viterbi.jpg	CC BY-SA 4.0	Canyigitozen	p7-viterbi	220
File:Starlink über dem Rathaus in Tübingen.jpg	starlink.jpg	CC0	Dktue	p12-starlink	280
File:GPS Satellite NASA art-iif.crop.jpg	gps.jpg	Public domain	GPS_Satellite_NASA_art-iif.jpg: created by NASA derivative work: Fgnievinski (ta	p12-gps	360
File:Telstar satellite-CnAM 35181-IMG 5408-gradient.jpg	telstar.jpg	CC BY-SA 3.0 fr	Rama	p1-telstar	360
File:Cell Tower Ciudad del Carmen2020.jpg	celltower.jpg	CC BY-SA 4.0	Cvmontuy	p4-tower	280
File:First iPhone Macworld 2007 DSCF1286.agr.jpg	iphone2007.jpg	CC BY-SA 4.0	ArnoldReinhold	p10-iphone	360
File:Communications-tower-w-antennae.jpg	microwave.jpg	Public domain	No machine-readable author provided. Moho~commonswiki assumed (based on copyrigh	p1-microwave	360
