# 조립기가 만든다 — 손으로 고치지 말 것.
# 기관	번호	조항
3gpp	23.002	4.1
3gpp	23.002	6
3gpp	23.401	4.2
3gpp	23.401	4.7.2
3gpp	25.211	5.2.1
3gpp	25.212	4.2.3
3gpp	25.213	4.2
3gpp	25.213	4.2.1.1
3gpp	25.213	4.2.1.3
3gpp	25.214	4.1
3gpp	25.214	5.1
3gpp	25.308	5
3gpp	33.102	6.3
3gpp	33.401	6.2
3gpp	36.211	6.2.1
3gpp	36.211	6.3.4
3gpp	36.212	5.1.1
3gpp	36.212	5.1.3.2
3gpp	36.212	5.1.4
3gpp	36.212	5.1.4.1
3gpp	36.213	7.2.4
3gpp	36.300	5.1.4
3gpp	36.321	5.1
3gpp	36.321	5.3.2
3gpp	38.212	5.1
3gpp	38.212	5.3.1
3gpp	38.212	5.3.2
3gpp	38.901	7.4.1
3gpp	43.020	3.2
3gpp	43.020	4.8
3gpp	45.001	5.1
3gpp	45.001	6
3gpp	45.002	3.3
3gpp	45.002	3.3.2.1
3gpp	45.002	4.3
3gpp	45.002	5.2
3gpp	45.003	3.1
3gpp	45.003	3.1.3
3gpp	45.005	2
3gpp	45.005	4.2
3gpp	45.008	3.2
gsma	IR.21	
gsma	IR.92	
itu	M.1457	
itu	M.2083	
itu	M.2410	
